number,name,ligand / staining,Repeat,length,TB/UB,orig_number
1067,RF#hg#MR1s5#R#flum#6285#02,flum,2,short,tb,71
1066,cell body stain - section 13,AG,2,short,,72
1065,lost sectioning,,2,short,,73
1064,lost sectioning,,2,short,,74
1063,RF#hg#MR1s5#R#oxot#6233#02,oxot,2,short,tb,75
1062,RF#hg#MR1s5#R#damp#6289#02,damp,2,short,tb,76
1061,myelin stain - section 20,MS,2,short,,77
1060,RF#hg#MR1s5#R#epib#6261#02,epib,2,short,tb,78
1059,RF#hg#MR1s5#R#praz#6245#02,praz,2,short,tb,79
1058,lost sectioning,,2,short,,80
1057,lost sectioning,,2,short,,81
1056,lost sectioning,,2,short,,82
1055,RF#hg#MR1s5#R#uk14#6249#02,uk14,2,short,tb,83
1054,spare; in freezer,,2,short,,84
1053,RF#hg#MR1s5#R#dpat#6237#02,dpat,2,short,tb,85
1052,RF#hg#MR1s5#R#sr95#6301#02,sr95,2,short,tb,86
1051,cell body stain - section 32,AG,2,short,,87
1050,RF#hg#MR1s5#R#sch2#6257#02,sch2,2,short,tb,88
1049,RF#hg#MR1s5#R#rx82#6253#02,rx82,2,short,tb,89
1048,RF#hg#MR1s5#R#afdx#6293#02,afdx,2,short,tb,90
1047,RF#hg#MR1s5#R#dpog#6273#02,dpog,2,short,tb,91
1046,myelin stain - section 41,MS,2,short,,92
1045,RF#hg#MR1s5#R#dpmg#6277#02,dpmg,2,short,tb,93
1044,spare; in freezer,,2,short,,94
1043,RF#hg#MR1s5#R#ly34#6297#02,ly34,2,short,tb,95
1042,lost sectioning,,2,short,,96
1041,lost sectioning,,2,short,,97
1040,RF#hg#MR1s5#R#cpog#6265#02,cpog,2,short,tb,98
1039,RF#hg#MR1s5#R#cpmg#6269#02,cpmg,2,short,tb,99
1038,RF#hg#MR1s5#R#keta#6241#02,keta,2,short,tb,100
1037,spare; in freezer,,2,short,,101
1036,damg; not digitized,,2,short,,102
1035,spare; in freezer,,2,short,,103
1034,spare; in freezer,,2,short,,104
1033,dpdp; not digitized,,2,short,,105
1032,RF#HG#MR1S5#R#pire#9528#02,pire,2,short,tb,106
1031,spare; in freezer,,2,short,,107
1030,spare; in freezer,,2,short,,108
1029,spare; in freezer,,2,short,,109
1028,spare; in freezer,,2,short,,110
1027,lost sectioning,,2,short,,111
1026,lost sectioning,,2,short,,112
1025,lost sectioning,,2,short,,113
1024,RF#hg#MR1s5#R#ampa#6213#03,ampa,3,short,tb,114
1023,RF#hg#MR1s5#R#kain#6217#03,kain,3,short,tb,115
1022,RF#hg#MR1s5#R#mk80#6221#03,mk80,3,short,tb,116
1021,lost sectioning,,3,short,,117
1020,RF#hg#MR1s5#R#musc#6225#03,musc,3,short,tb,118
1019,RF#hg#MR1s5#R#cgp5#6281#03,cgp5,3,short,tb,119
1018,lost sectioning,,3,short,,120
1017,lost sectioning,,3,short,,121
1016,lost sectioning,,3,short,,122
1015,lost sectioning,,3,short,,123
1014,lost sectioning,,3,short,,124
1013,RF#hg#MR1s5#R#flum#6285#03,flum,3,short,tb,125
1012,cell body stain - section 13,AG,3,short,,126
1011,lost sectioning,,3,short,,127
1010,lost sectioning,,3,short,,128
1009,RF#hg#MR1s5#R#oxot#6233#03,oxot,3,short,tb,129
1008,RF#hg#MR1s5#R#damp#6289#03,damp,3,short,tb,130
1007,myelin stain - section 20,MS,3,short,,131
1006,RF#hg#MR1s5#R#epib#6261#03,epib,3,short,tb,132
1005,lost sectioning,,3,short,,133
1004,lost sectioning,,3,short,,134
1003,lost sectioning,,3,short,,135
1002,RF#hg#MR1s5#R#praz#6245#03,praz,3,short,tb,136
1001,lost sectioning,,3,short,,137
1000,RF#hg#MR1s5#R#uk14#6249#03,uk14,3,short,tb,138
999,lost sectioning,,3,short,,139
998,spare; in freezer,,3,short,,140
997,lost sectioning,,3,short,,141
996,lost sectioning,,3,short,,142
995,RF#hg#MR1s5#R#dpat#6237#03,dpat,3,short,tb,143
994,RF#hg#MR1s5#R#sr95#6301#03,sr95,3,short,tb,144
993,cell body stain - section 32,AG,3,short,,145
992,RF#hg#MR1s5#R#sch2#6257#03,sch2,3,short,tb,146
991,RF#hg#MR1s5#R#rx82#6253#03,rx82,3,short,tb,147
990,RF#hg#MR1s5#R#afdx#6293#03,afdx,3,short,tb,148
989,RF#hg#MR1s5#R#dpog#6273#03,dpog,3,short,tb,149
988,myelin stain - section 41,MS,3,short,,150
987,RF#hg#MR1s5#R#dpmg#6277#03,dpmg,3,short,tb,151
986,spare; in freezer,,3,short,,152
985,RF#hg#MR1s5#R#ly34#6297#03,ly34,3,short,tb,153
984,RF#hg#MR1s5#R#cpog#6265#03,cpog,3,short,tb,154
983,RF#hg#MR1s5#R#cpmg#6269#03,cpmg,3,short,tb,155
982,RF#hg#MR1s5#R#keta#6241#03,keta,3,short,tb,156
981,spare; in freezer,,3,short,,157
980,damg; not digitized,,3,short,,158
979,spare; in freezer,,3,short,,159
978,dpdp; not digitized,,3,short,,160
977,RF#HG#MR1S5#R#pire#9528#03,pire,3,short,tb,161
976,spare; in freezer,,3,short,,162
975,spare; in freezer,,3,short,,163
974,spare; in freezer,,3,short,,164
973,spare; in freezer,,3,short,,165
972,spare; in freezer,,3,short,,166
971,lost sectioning,,3,short,,167
970,lost sectioning,,3,short,,168
969,lost sectioning,,3,short,,169
968,lost sectioning,,3,short,,170
967,lost sectioning,,3,short,,171
966,lost sectioning,,3,short,,172
965,RF#hg#MR1s5#R#ampa#6213#04,ampa,4,short,tb,173
964,lost sectioning,,4,short,,174
963,lost sectioning,,4,short,,175
962,RF#hg#MR1s5#R#kain#6217#04,kain,4,short,tb,176
961,RF#hg#MR1s5#R#mk80#6221#04,mk80,4,short,tb,177
960,RF#hg#MR1s5#R#musc#6225#04,musc,4,short,tb,178
959,lost sectioning,,4,short,,179
958,lost sectioning,,4,short,,180
957,RF#hg#MR1s5#R#cgp5#6281#04,cgp5,4,short,tb,181
956,RF#hg#MR1s5#R#flum#6285#04,flum,4,short,tb,182
955,cell body stain - section 13,AG,4,short,,183
954,lost sectioning,,4,short,,184
953,RF#hg#MR1s5#R#oxot#6233#04,oxot,4,short,tb,185
952,RF#hg#MR1s5#R#damp#6289#04,damp,4,short,tb,186
951,myelin stain - section 20,MS,4,short,,187
950,RF#hg#MR1s5#R#epib#6261#04,epib,4,short,tb,188
949,RF#hg#MR1s5#R#praz#6245#04,praz,4,short,tb,189
948,RF#hg#MR1s5#R#uk14#6249#04,uk14,4,short,tb,190
947,spare; in freezer,,4,short,,191
946,lost sectioning,,4,short,,192
945,RF#hg#MR1s5#R#dpat#6237#04,dpat,4,short,tb,193
944,lost sectioning,,4,short,,194
943,RF#hg#MR1s5#R#sr95#6301#04,sr95,4,short,tb,195
942,cell body stain - section 32,AG,4,short,,196
941,RF#hg#MR1s5#R#sch2#6257#04,sch2,4,short,tb,197
940,lost sectioning,,4,short,,198
939,RF#hg#MR1s5#R#rx82#6253#04,rx82,4,short,tb,199
938,RF#hg#MR1s5#R#afdx#6293#04,afdx,4,short,tb,200
937,RF#hg#MR1s5#R#dpog#6273#04,dpog,4,short,tb,201
936,myelin stain - section 41,MS,4,short,,202
935,lost sectioning,,4,short,,203
934,RF#hg#MR1s5#R#dpmg#6277#04,dpmg,4,short,tb,204
933,spare; in freezer,,4,short,,205
932,RF#hg#MR1s5#R#ly34#6297#04,ly34,4,short,tb,206
931,RF#hg#MR1s5#R#cpog#6265#04,cpog,4,short,tb,207
930,RF#hg#MR1s5#R#cpmg#6269#04,cpmg,4,short,tb,208
929,RF#hg#MR1s5#R#keta#6241#04,keta,4,short,tb,209
928,lost sectioning,,4,short,,210
927,lost sectioning,,4,short,,211
926,spare; in freezer,,4,short,,212
925,damg; not digitized,,4,short,,213
924,spare; in freezer,,4,short,,214
923,dpdp; not digitized,,4,short,,215
922,RF#HG#MR1S5#R#pire#9528#04,pire,4,short,tb,216
921,spare; in freezer,,4,short,,217
920,spare; in freezer,,4,short,,218
919,spare; in freezer,,4,short,,219
918,spare; in freezer,,4,short,,220
917,spare; in freezer,,4,short,,221
916,lost sectioning,,4,short,,222
915,lost sectioning,,4,short,,223
914,lost sectioning,,4,short,,224
913,lost sectioning,,4,short,,225
912,lost sectioning,,4,short,,226
911,lost sectioning,,4,short,,227
910,lost sectioning,,4,short,,228
909,lost sectioning,,4,short,,229
908,lost sectioning,,4,short,,230
907,RF#hg#MR1s5#R#ampa#6213#05,ampa,5,short,tb,231
906,RF#hg#MR1s5#R#kain#6217#05,kain,5,short,tb,232
905,RF#hg#MR1s5#R#mk80#6221#05,mk80,5,short,tb,233
904,lost sectioning,,5,short,,234
903,RF#hg#MR1s5#R#musc#8667#05,musc,5,short,tb,235
902,RF#hg#MR1s5#R#cgp5#6281#05,cgp5,5,short,tb,236
901,RF#hg#MR1s5#R#flum#6285#05,flum,5,short,tb,237
900,cell body stain - section 13,AG,5,short,,238
899,lost sectioning,,5,short,,239
898,RF#hg#MR1s5#R#oxot#6233#05,oxot,5,short,tb,240
897,RF#hg#MR1s5#R#damp#6289#05,damp,5,short,tb,241
896,myelin stain - section 20,MS,5,short,,242
895,RF#hg#MR1s5#R#epib#6261#05,epib,5,short,tb,243
894,lost sectioning,,5,short,,244
893,RF#hg#MR1s5#R#praz#6245#05,praz,5,short,tb,245
892,RF#hg#MR1s5#R#uk14#6249#05,uk14,5,short,tb,246
891,spare; in freezer,,5,short,,247
890,RF#hg#MR1s5#R#dpat#6237#05,dpat,5,short,tb,248
889,RF#hg#MR1s5#R#sr95#6301#05,sr95,5,short,tb,249
888,cell body stain - section 32,AG,5,short,,250
887,lost sectioning,,5,short,,251
886,lost sectioning,,5,short,,252
885,lost sectioning,,5,short,,253
884,RF#hg#MR1s5#R#sch2#6257#05,sch2,5,short,tb,254
883,RF#hg#MR1s5#R#rx82#6253#05,rx82,5,short,tb,255
882,RF#hg#MR1s5#R#afdx#6293#05,afdx,5,short,tb,256
881,RF#hg#MR1s5#R#dpog#6273#05,dpog,5,short,tb,257
880,myelin stain - section 41,MS,5,short,,258
879,RF#hg#MR1s5#R#dpmg#6277#05,dpmg,5,short,tb,259
878,spare; in freezer,,5,short,,260
877,RF#hg#MR1s5#R#ly34#6297#05,ly34,5,short,tb,261
876,RF#hg#MR1s5#R#cpog#6265#05,cpog,5,short,tb,262
875,RF#hg#MR1s5#R#cpmg#6269#05,cpmg,5,short,tb,263
874,RF#hg#MR1s5#R#keta#6241#05,keta,5,short,tb,264
873,spare; in freezer,,5,short,,265
872,damg; not digitized,,5,short,,266
871,spare; in freezer,,5,short,,267
870,dpdp; not digitized,,5,short,,268
869,RF#HG#MR1S5#R#pire#9528#05,pire,5,short,tb,269
868,spare; in freezer,,5,short,,270
867,spare; in freezer,,5,short,,271
866,spare; in freezer,,5,short,,272
865,spare; in freezer,,5,short,,273
864,spare; in freezer,,5,short,,274
863,lost sectioning,,5,short,,275
862,lost sectioning,,5,short,,276
861,RF#hg#MR1s5#R#ampa#6214#06,ampa,6,short,tb,277
860,RF#hg#MR1s5#R#kain#6217#06,kain,6,short,tb,278
859,RF#hg#MR1s5#R#mk80#6221#06,mk80,6,short,tb,279
858,RF#hg#MR1s5#R#musc#6225#06,musc,6,short,tb,280
857,RF#hg#MR1s5#R#cgp5#6281#06,cgp5,6,short,tb,281
856,RF#hg#MR1s5#R#flum#6285#06,flum,6,short,tb,282
855,cell body stain - section 13,AG,6,short,,283
854,lost sectioning,,6,short,,284
853,RF#hg#MR1s5#R#oxot#6233#06,oxot,6,short,tb,285
852,RF#hg#MR1s5#R#damp#6289#06,damp,6,short,tb,286
851,myelin stain - section 20,MS,6,short,,287
850,RF#hg#MR1s5#R#epib#6261#06,epib,6,short,tb,288
849,RF#hg#MR1s5#R#praz#6245#06,praz,6,short,tb,289
848,RF#hg#MR1s5#R#uk14#6249#06,uk14,6,short,tb,290
847,spare; in freezer,,6,short,,291
846,RF#hg#MR1s5#R#dpat#6237#06,dpat,6,short,tb,292
845,RF#hg#MR1s5#R#sr95#6301#06,sr95,6,short,tb,293
844,cell body stain - section 32,AG,6,short,,294
843,RF#hg#MR1s5#R#sch2#6257#06,sch2,6,short,tb,295
842,RF#hg#MR1s5#R#rx82#6253#06,rx82,6,short,tb,296
841,RF#hg#MR1s5#R#afdx#6293#06,afdx,6,short,tb,297
840,RF#hg#MR1s5#R#dpog#6273#06,dpog,6,short,tb,298
839,myelin stain - section 41,MS,6,short,,299
838,RF#hg#MR1s5#R#dpmg#6277#06,dpmg,6,short,tb,300
837,spare; in freezer,,6,short,,301
836,RF#hg#MR1s5#R#ly34#6297#06,ly34,6,short,tb,302
835,RF#hg#MR1s5#R#cpog#6266#06,cpog,6,short,tb,303
834,RF#hg#MR1s5#R#cpmg#6270#06,cpmg,6,short,tb,304
833,RF#hg#MR1s5#R#keta#6241#06,keta,6,short,tb,305
832,spare; in freezer,,6,short,,306
831,damg; not digitized,,6,short,,307
830,spare; in freezer,,6,short,,308
829,dpdp; not digitized,,6,short,,309
828,RF#HG#MR1S5#R#pire#9528#06,pire,6,short,tb,310
827,spare; in freezer,,6,short,,311
826,spare; in freezer,,6,short,,312
825,spare; in freezer,,6,short,,313
824,spare; in freezer,,6,short,,314
823,spare; in freezer,,6,short,,315
822,lost sectioning,,6,short,,316
821,RF#hg#MR1s5#R#ampa#6214#07,ampa,7,short,tb,317
820,RF#hg#MR1s5#R#kain#6218#07,kain,7,short,tb,318
819,RF#hg#MR1s5#R#mk80#6222#07,mk80,7,short,tb,319
818,lost sectioning,,7,short,,320
817,RF#hg#MR1s5#R#musc#6225#07,musc,7,short,tb,321
816,RF#hg#MR1s5#R#cgp5#6282#07,cgp5,7,short,tb,322
815,RF#hg#MR1s5#R#flum#6285#07,flum,7,short,tb,323
814,cell body stain - section 13,AG,7,short,,324
813,lost sectioning,,7,short,,325
812,RF#hg#MR1s5#R#oxot#6233#07,oxot,7,short,tb,326
811,RF#hg#MR1s5#R#damp#6290#07,damp,7,short,tb,327
810,myelin stain - section 20,MS,7,short,,328
809,RF#hg#MR1s5#R#epib#6261#07,epib,7,short,tb,329
808,RF#hg#MR1s5#R#praz#6245#07,praz,7,short,tb,330
807,RF#hg#MR1s5#R#uk14#6249#07,uk14,7,short,tb,331
806,spare; in freezer,,7,short,,332
805,lost sectioning,,7,short,,333
804,RF#hg#MR1s5#R#dpat#6237#07,dpat,7,short,tb,334
803,RF#hg#MR1s5#R#sr95#6301#07,sr95,7,short,tb,335
802,cell body stain - section 32,AG,7,short,,336
801,RF#hg#MR1s5#R#sch2#6257#07,sch2,7,short,tb,337
800,RF#hg#MR1s5#R#rx82#6253#07,rx82,7,short,tb,338
799,RF#hg#MR1s5#R#afdx#6294#07,afdx,7,short,tb,339
798,RF#hg#MR1s5#R#dpog#6273#07,dpog,7,short,tb,340
797,myelin stain - section 41,MS,7,short,,341
796,RF#hg#MR1s5#R#dpmg#6277#07,dpmg,7,short,tb,342
795,spare; in freezer,,7,short,,343
794,RF#hg#MR1s5#R#ly34#6297#07,ly34,7,short,tb,344
793,RF#hg#MR1s5#R#cpog#6266#07,cpog,7,short,tb,345
792,RF#hg#MR1s5#R#cpmg#6270#07,cpmg,7,short,tb,346
791,RF#hg#MR1s5#R#keta#6241#07,keta,7,short,tb,347
790,spare; in freezer,,7,short,,348
789,damg; not digitized,,7,short,,349
788,spare; in freezer,,7,short,,350
787,dpdp; not digitized,,7,short,,351
786,spare; in freezer,,7,short,,352
785,RF#HG#MR1S5#R#pire#9529#07,pire,7,short,tb,353
784,spare; in freezer,,7,short,,354
783,spare; in freezer,,7,short,,355
782,spare; in freezer,,7,short,,356
781,spare; in freezer,,7,short,,357
780,lost sectioning,,7,short,,358
779,lost sectioning,,7,short,,359
778,lost sectioning,,7,short,,360
777,lost sectioning,,7,short,,361
776,lost sectioning,,7,short,,362
775,RF#hg#MR1s5#R#ampa#6214#08,ampa,8,short,tb,363
774,RF#hg#MR1s5#R#kain#6218#08,kain,8,short,tb,364
773,RF#hg#MR1s5#R#mk80#6222#08,mk80,8,short,tb,365
772,RF#hg#MR1s5#R#musc#6225#08,musc,8,short,tb,366
771,RF#hg#MR1s5#R#cgp5#6282#08,cgp5,8,short,tb,367
770,lost sectioning,,8,short,,368
769,RF#hg#MR1s5#R#flum#6285#08,flum,8,short,tb,369
768,cell body stain - section 13,AG,8,short,,370
767,lost sectioning,,8,short,,371
766,lost sectioning,,8,short,,372
765,RF#hg#MR1s5#R#oxot#6233#08,oxot,8,short,tb,373
764,RF#hg#MR1s5#R#damp#6290#08,damp,8,short,tb,374
763,myelin stain - section 20,MS,8,short,,375
762,RF#hg#MR1s5#R#epib#6261#08,epib,8,short,tb,376
761,lost sectioning,,8,short,,377
760,lost sectioning,,8,short,,378
759,RF#hg#MR1s5#R#praz#6245#08,praz,8,short,tb,379
758,RF#hg#MR1s5#R#uk14#6249#08,uk14,8,short,tb,380
757,spare; in freezer,,8,short,,381
756,RF#hg#MR1s5#R#dpat#6237#08,dpat,8,short,tb,382
755,RF#hg#MR1s5#R#sr95#6301#08,sr95,8,short,tb,383
754,cell body stain - section 32,AG,8,short,,384
753,RF#hg#MR1s5#R#sch2#6257#08,sch2,8,short,tb,385
752,RF#hg#MR1s5#R#rx82#6253#08,rx82,8,short,tb,386
751,lost sectioning,,8,short,,387
750,RF#hg#MR1s5#R#afdx#6294#08,afdx,8,short,tb,388
749,RF#hg#MR1s5#R#dpog#6273#08,dpog,8,short,tb,389
748,myelin stain - section 41,MS,8,short,,390
747,RF#hg#MR1s5#R#dpmg#6277#08,dpmg,8,short,tb,391
746,spare; in freezer,,8,short,,392
745,RF#hg#MR1s5#R#ly34#6297#08,ly34,8,short,tb,393
744,RF#hg#MR1s5#R#cpog#6266#08,cpog,8,short,tb,394
743,RF#hg#MR1s5#R#cpmg#6270#08,cpmg,8,short,tb,395
742,RF#hg#MR1s5#R#keta#6241#08,keta,8,short,tb,396
741,spare; in freezer,,8,short,,397
740,damg; not digitized,,8,short,,398
739,spare; in freezer,,8,short,,399
738,dpdp; not digitized,,8,short,,400
737,RF#HG#MR1S5#R#pire#9529#08,pire,8,short,tb,401
736,spare; in freezer,,8,short,,402
735,spare; in freezer,,8,short,,403
734,spare; in freezer,,8,short,,404
733,spare; in freezer,,8,short,,405
732,spare; in freezer,,8,short,,406
731,lost sectioning,,8,short,,407
730,lost sectioning,,8,short,,408
729,RF#hg#MR1s5#R#ampa#6214#09,ampa,9,short,tb,409
728,RF#hg#MR1s5#R#kain#6218#09,kain,9,short,tb,410
727,RF#hg#MR1s5#R#mk80#6222#09,mk80,9,short,tb,411
726,RF#hg#MR1s5#R#musc#6225#09,musc,9,short,tb,412
725,RF#hg#MR1s5#R#cgp5#6282#09,cgp5,9,short,tb,413
724,RF#hg#MR1s5#R#flum#6285#09,flum,9,short,tb,414
723,cell body stain - section 13,AG,9,short,,415
722,lost sectioning,,9,short,,416
721,RF#hg#MR1s5#R#oxot#6233#09,oxot,9,short,tb,417
720,RF#hg#MR1s5#R#damp#6290#09,damp,9,short,tb,418
719,myelin stain - section 20,MS,9,short,,419
718,RF#hg#MR1s5#R#epib#6261#09,epib,9,short,tb,420
717,RF#hg#MR1s5#R#praz#6245#09,praz,9,short,tb,421
716,RF#hg#MR1s5#R#uk14#6249#09,uk14,9,short,tb,422
715,spare; in freezer,,9,short,,423
714,RF#hg#MR1s5#R#dpat#6237#09,dpat,9,short,tb,424
713,RF#hg#MR1s5#R#sr95#6301#09,sr95,9,short,tb,425
712,cell body stain - section 32,AG,9,short,,426
711,RF#hg#MR1s5#R#sch2#6257#09,sch2,9,short,tb,427
710,RF#hg#MR1s5#R#rx82#6253#09,rx82,9,short,tb,428
709,RF#hg#MR1s5#R#afdx#6294#09,afdx,9,short,tb,429
708,RF#hg#MR1s5#R#dpog#6273#09,dpog,9,short,tb,430
707,myelin stain - section 41,MS,9,short,,431
706,RF#hg#MR1s5#R#dpmg#6277#09,dpmg,9,short,tb,432
705,spare; in freezer,,9,short,,433
704,RF#hg#MR1s5#R#ly34#6297#09,ly34,9,short,tb,434
703,RF#hg#MR1s5#R#cpog#6266#09,cpog,9,short,tb,435
702,RF#hg#MR1s5#R#cpmg#6270#09,cpmg,9,short,tb,436
701,RF#hg#MR1s5#R#keta#6241#09,keta,9,short,tb,437
700,spare; in freezer,,9,short,,438
699,damg; not digitized,,9,short,,439
698,spare; in freezer,,9,short,,440
697,dpdp; not digitized,,9,short,,441
696,RF#HG#MR1S5#R#pire#9529#09,pire,9,short,tb,442
695,spare; in freezer,,9,short,,443
694,spare; in freezer,,9,short,,444
693,spare; in freezer,,9,short,,445
692,spare; in freezer,,9,short,,446
691,spare; in freezer,,9,short,,447
690,lost sectioning,,9,short,,448
689,lost sectioning,,9,short,,449
688,lost sectioning,,9,short,,450
687,lost sectioning,,9,short,,451
686,RF#hg#MR1s5#R#ampa#6215#10,ampa,10,long,tb,452
685,ampa (ub); not digitized,ampa,10,long,ub,453
684,RF#hg#MR1s5#R#kain#6218#10,kain,10,long,tb,454
683,kain (ub); not digitized,kain,10,long,ub,455
682,RF#hg#MR1s5#R#mk80#6222#10,mk80,10,long,tb,456
681,RF#hg#MR1s5#R#mk80ub#6223#10,mk80,10,long,ub,457
680,RF#hg#MR1s5#R#musc#6226#10,musc,10,long,tb,458
679,musc (ub); not digitized,musc,10,long,ub,459
678,RF#hg#MR1s5#R#cgp5#6282#10,cgp5,10,long,tb,460
677,RF#hg#MR1s5#R#cgp5#6283#UB,cgp5,10,long,ub,461
676,RF#hg#MR1s5#R#flum#6286#10,flum,10,long,tb,462
675,flum (ub); not digitized,flum,10,long,ub,463
674,cell body stain - section 13,AG,10,long,,464
673,lost sectioning,,10,long,,465
672,lost sectioning,,10,long,,466
671,RF#hg#MR1s5#R#oxot#6234#10,oxot,10,long,tb,467
670,oxot (ub); not digitized,oxot,10,long,ub,468
669,RF#hg#MR1s5#R#damp#6290#10,damp,10,long,tb,469
668,RF#hg#MR1s5#R#dampub#6291#10,damp,10,long,ub,470
667,myelin stain - section 20,MS,10,long,,471
666,RF#hg#MR1s5#R#epib#6262#10,epib,10,long,tb,472
665,epib (ub); not digitized,epib,10,long,ub,473
664,RF#hg#MR1s5#R#praz#6246#10,praz,10,long,tb,474
663,RF#hg#MR1s5#R#prazub#6246#10,praz,10,long,ub,475
662,RF#hg#MR1s5#R#uk14#6250#10,uk14,10,long,tb,476
661,uk14 (ub); not digitized,uk14,10,long,ub,477
660,spare; in freezer,,10,long,,478
659,RF#hg#MR1s5#R#dpat#6238#10,dpat,10,long,tb,479
658,RF#hg#MR1s5#R#dpatub#6238#10,dpat,10,long,ub,480
657,RF#hg#MR1s5#R#sr95#6302#10,sr95,10,long,tb,481
656,RF#hg#MR1s5#R#sr95ub#6302#10,sr95,10,long,ub,482
655,cell body stain - section 32,AG,10,long,,483
654,RF#hg#MR1s5#R#sch2#6258#10,sch2,10,long,tb,484
653,RF#hg#MR1s5#R#sch2ub#6258#10,sch2,10,long,ub,485
652,RF#hg#MR1s5#R#rx82#6254#10,rx82,10,long,tb,486
651,rx82 (ub); not digitized,rx82,10,long,ub,487
650,RF#hg#MR1s5#R#afdx#6294#10,afdx,10,long,tb,488
649,afdx (ub); not digitized,afdx,10,long,ub,489
648,RF#hg#MR1s5#R#dpog#6274#10,dpog,10,long,tb,490
647,RF#hg#MR1s5#R#dpogub#6274#10,dpog,10,long,ub,491
646,myelin stain - section 41,MS,10,long,,492
645,RF#hg#MR1s5#R#dpmg#6278#10,dpmg,10,long,tb,493
644,RF#hg#MR1s5#R#dpmg#6278#UB,dpmg,10,long,ub,494
643,spare; in freezer,,10,long,,495
642,RF#hg#MR1s5#R#ly34#6298#10,ly34,10,long,tb,496
641,ly34 (ub); not digitized,ly34,10,long,ub,497
640,RF#hg#MR1s5#R#cpog#6267#10,cpog,10,long,tb,498
639,RF#hg#MR1s5#R#cpog#6267#UB,cpog,10,long,ub,499
