number,name,ligand / staining,Repeat,length,TB/UB
848,spare; in freezer,,4,short,
847,RE#hg#MR1s4#R#ly34#5927#04,ly34,4,short,tb
846,RE#hg#MR1s4#R#cpog#5895#04,cpog,4,short,tb
845,RE#hg#MR1s4#R#cpmg#5899#04,cpmg,4,short,tb
844,lost sectioning,,4,short,
843,RE#hg#MR1s4#R#keta#5871#04,keta,4,short,tb
842,spare; in freezer,,4,short,
841,damg; not digitized,,4,short,
840,spare; in freezer,,4,short,
839,dpdp; not digitized,,4,short,
838,spare; in freezer,,4,short,
837,spare; in freezer,,4,short,
836,spare; in freezer,,4,short,
835,spare; in freezer,,4,short,
834,spare; in freezer,,4,short,
833,spare; in freezer,,4,short,
832,lost sectioning,,4,short,
831,lost sectioning,,4,short,
830,lost sectioning,,4,short,
829,lost sectioning,,4,short,
828,lost sectioning,,4,short,
827,RE#hg#MR1s4#R#ampa#5843#05,ampa,5,short,tb
826,RE#hg#MR1s4#R#kain#5847#05,kain,5,short,tb
825,RE#hg#MR1s4#R#mk80#5851#05,mk80,5,short,tb
824,RE#hg#MR1s4#R#musc#5855#05,musc,5,short,tb
823,RE#hg#MR1s4#R#cgp5#5911#05,cgp5,5,short,tb
822,RE#HG#MR1S4#R#flum#5915#05,flum,5,short,tb
821,cell body stain - section 13,AG,5,short,
820,lost sectioning,,5,short,
819,RE#hg#MR1s4#R#oxot#5863#05,oxot,5,short,tb
818,lost sectioning,,5,short,
817,RE#hg#MR1s4#R#damp#5919#05,damp,5,short,tb
816,myelin stain - section 20,MS,5,short,
815,RE#hg#MR1s4#R#epib#5891#05,epib,5,short,tb
814,RE#hg#MR1s4#R#praz#5875#05,praz,5,short,tb
813,lost sectioning,,5,short,
812,lost sectioning,,5,short,
811,lost sectioning,,5,short,
810,RE#hg#MR1s4#R#uk14#5879#05,uk14,5,short,tb
809,spare; in freezer,,5,short,
808,RE#HG#MR1s4#R#dpat#5867#05,dpat,5,short,tb
807,RE#hg#MR1s4#R#sr95#5931#05,sr95,5,short,tb
806,cell body stain - section 32,AG,5,short,
805,RE#hg#MR1s4#R#sch2#5887#05,sch2,5,short,tb
804,RE#hg#MR1s4#R#rx82#5883#05,rx82,5,short,tb
803,spare; in freezer,,5,short,
802,RE#hg#MR1s4#R#afdx#5923#05,afdx,5,short,tb
801,RE#hg#MR1s4#R#dpog#5903#05,dpog,5,short,tb
800,myelin stain - section 41,MS,5,short,
799,RE#hg#MR1s4#R#dpmg#5907#05,dpmg,5,short,tb
798,RE#HG#MR1S4#R#pire#9524#05,pire,5,short,tb
797,RE#hg#MR1s4#R#ly34#5927#05,ly34,5,short,tb
796,RE#hg#MR1s4#R#cpog#5895#05,cpog,5,short,tb
795,RE#hg#MR1s4#R#cpmg#5899#05,cpmg,5,short,tb
794,RE#hg#MR1s4#R#keta#5871#05,keta,5,short,tb
793,spare; in freezer,,5,short,
792,damg; not digitized,,5,short,
791,spare; in freezer,,5,short,
790,dpdp; not digitized,,5,short,
789,spare; in freezer,,5,short,
788,spare; in freezer,,5,short,
787,spare; in freezer,,5,short,
786,spare; in freezer,,5,short,
785,spare; in freezer,,5,short,
784,spare; in freezer,,5,short,
783,lost sectioning,,5,short,
782,lost sectioning,,5,short,
781,lost sectioning,,5,short,
780,lost sectioning,,5,short,
779,RE#hg#MR1s4#R#ampa#5843#06,ampa,6,short,tb
778,RE#hg#MR1s4#R#kain#5847#06,kain,6,short,tb
777,RE#hg#MR1s4#R#mk80#5851#06,mk80,6,short,tb
776,RE#hg#MR1s4#R#musc#5855#06,musc,6,short,tb
775,RE#hg#MR1s4#R#cgp5#5911#06,cgp5,6,short,tb
774,RE#HG#MR1S4#R#flum#5915#06,flum,6,short,tb
773,cell body stain - section 13,AG,6,short,
772,lost sectioning,,6,short,
771,RE#hg#MR1s4#R#oxot#5863#06,oxot,6,short,tb
770,RE#hg#MR1s4#R#damp#5919#06,damp,6,short,tb
769,myelin stain - section 20,MS,6,short,
768,RE#hg#MR1s4#R#epib#5891#06,epib,6,short,tb
767,RE#hg#MR1s4#R#praz#5875#06,praz,6,short,tb
766,RE#hg#MR1s4#R#uk14#5879#06,uk14,6,short,tb
765,spare; in freezer,,6,short,
764,RE#HG#MR1s4#R#dpat#5867#06,dpat,6,short,tb
763,RE#hg#MR1s4#R#sr95#5931#06,sr95,6,short,tb
762,cell body stain - section 32,AG,6,short,
761,RE#hg#MR1s4#R#sch2#5887#06,sch2,6,short,tb
760,RE#hg#MR1s4#R#rx82#5883#06,rx82,6,short,tb
759,RE#hg#MR1s4#R#afdx#5923#06,afdx,6,short,tb
758,RE#hg#MR1s4#R#dpog#5903#06,dpog,6,short,tb
757,myelin stain - section 41,MS,6,short,
756,RE#hg#MR1s4#R#dpmg#5907#06,dpmg,6,short,tb
755,RE#HG#MR1S4#R#pire#9524#06,pire,6,short,tb
754,RE#hg#MR1s4#R#ly34#5927#06,ly34,6,short,tb
753,RE#hg#MR1s4#R#cpog#5895#06,cpog,6,short,tb
752,spare; in freezer,,6,short,
751,lost sectioning,,6,short,
750,lost sectioning,,6,short,
749,RE#hg#MR1s4#R#cpmg#5899#06,cpmg,6,short,tb
748,RE#hg#MR1s4#R#keta#5871#06,keta,6,short,tb
747,lost sectioning,,6,short,
746,lost sectioning,,6,short,
745,spare; in freezer,,6,short,
744,damg; not digitized,,6,short,
743,spare; in freezer,,6,short,
742,dpdp; not digitized,,6,short,
741,spare; in freezer,,6,short,
740,spare; in freezer,,6,short,
739,spare; in freezer,,6,short,
738,spare; in freezer,,6,short,
737,spare; in freezer,,6,short,
736,spare; in freezer,,6,short,
735,lost sectioning,,6,short,
734,lost sectioning,,6,short,
733,lost sectioning,,6,short,
732,lost sectioning,,6,short,
731,lost sectioning,,6,short,
730,lost sectioning,,6,short,
729,lost sectioning,,6,short,
728,lost sectioning,,6,short,
727,lost sectioning,,6,short,
726,lost sectioning,,6,short,
725,lost sectioning,,6,short,
724,RE#hg#MR1s4#R#ampa#5843#07,ampa,7,short,tb
723,RE#hg#MR1s4#R#kain#5848#07,kain,7,short,tb
722,RE#hg#MR1s4#R#mk80#5851#07,mk80,7,short,tb
721,RE#hg#MR1s4#R#musc#5855#07,musc,7,short,tb
720,RE#hg#MR1s4#R#cgp5#5911#07,cgp5,7,short,tb
719,RE#HG#MR1S4#R#flum#5915#07,flum,7,short,tb
718,lost sectioning,,7,short,
717,lost sectioning,,7,short,
716,lost sectioning,,7,short,
715,cell body stain - section 13,AG,7,short,
714,lost sectioning,,7,short,
713,lost sectioning,,7,short,
712,RE#hg#MR1s4#R#oxot#5863#07,oxot,7,short,tb
711,lost sectioning,,7,short,
710,lost sectioning,,7,short,
709,lost sectioning,,7,short,
708,lost sectioning,,7,short,
707,lost sectioning,,7,short,
706,lost sectioning,,7,short,
705,lost sectioning,,7,short,
704,RE#hg#MR1s4#R#damp#5919#07,damp,7,short,tb
703,lost sectioning,,7,short,
702,lost sectioning,,7,short,
701,myelin stain - section 20,MS,7,short,
700,lost sectioning,,7,short,
699,lost sectioning,,7,short,
698,lost sectioning,,7,short,
697,lost sectioning,,7,short,
696,lost sectioning,,7,short,
695,RE#hg#MR1s4#R#epib#5892#07,epib,7,short,tb
694,lost sectioning,,7,short,
693,lost sectioning,,7,short,
692,RE#hg#MR1s4#R#praz#5875#07,praz,7,short,tb
691,RE#hg#MR1s4#R#uk14#5880#07,uk14,7,short,tb
690,spare; in freezer,,7,short,
689,lost sectioning,,7,short,
688,RE#HG#MR1s4#R#dpat#5867#07,dpat,7,short,tb
687,RE#hg#MR1s4#R#sr95#5932#07,sr95,7,short,tb
686,cell body stain - section 32,AG,7,short,
685,RE#hg#MR1s4#R#sch2#5888#07,sch2,7,short,tb
684,lost sectioning,,7,short,
683,lost sectioning,,7,short,
682,lost sectioning,,7,short,
681,lost sectioning,,7,short,
680,lost sectioning,,7,short,
679,lost sectioning,,7,short,
678,RE#hg#MR1s4#R#rx82#5884#07,rx82,7,short,tb
677,lost sectioning,,7,short,
676,RE#hg#MR1s4#R#afdx#5923#07,afdx,7,short,tb
675,RE#hg#MR1s4#R#dpog#5904#07,dpog,7,short,tb
674,myelin stain - section 41,MS,7,short,
673,RE#hg#MR1s4#R#dpmg#5908#07,dpmg,7,short,tb
672,RE#HG#MR1S4#R#pire#9524#07,pire,7,short,tb
671,RE#hg#MR1s4#R#ly34#5928#07,ly34,7,short,tb
670,spare; in freezer,,7,short,
669,lost sectioning,,7,short,
668,RE#hg#MR1s4#R#cpog#5896#07,cpog,7,short,tb
667,RE#hg#MR1s4#R#cpmg#5900#07,cpmg,7,short,tb
666,RE#hg#MR1s4#R#keta#5872#07,keta,7,short,tb
665,spare; in freezer,,7,short,
664,damg; not digitized,,7,short,
663,spare; in freezer,,7,short,
662,dpdp; not digitized,,7,short,
661,spare; in freezer,,7,short,
660,spare; in freezer,,7,short,
659,spare; in freezer,,7,short,
658,spare; in freezer,,7,short,
657,spare; in freezer,,7,short,
656,spare; in freezer,,7,short,
655,lost sectioning,,7,short,
654,RE#hg#MR1s4#R#ampa#5844#08,ampa,8,short,tb
653,RE#hg#MR1s4#R#kain#5848#08,kain,8,short,tb
652,RE#hg#MR1s4#R#mk80#5852#08,mk80,8,short,tb
651,RE#hg#MR1s4#R#musc#5856#08,musc,8,short,tb
650,RE#hg#MR1s4#R#cgp5#5912#08,cgp5,8,short,tb
649,RE#HG#MR1S4#R#flum#5916#08,flum,8,short,tb
648,cell body stain - section 13,AG,8,short,
647,lost sectioning,,8,short,
646,RE#hg#MR1s4#R#oxot#5864#08,oxot,8,short,tb
645,RE#HG#MR1S4#R#damp#5920#08,damp,8,short,tb
644,myelin stain - section 20,MS,8,short,
643,RE#hg#MR1s4#R#epib#5892#08,epib,8,short,tb
642,RE#hg#MR1s4#R#praz#5876#08,praz,8,short,tb
641,RE#hg#MR1s4#R#uk14#5880#08,uk14,8,short,tb
640,spare; in freezer,,8,short,
639,RE#HG#MR1S4#R#dpat#5868#08,dpat,8,short,tb
638,lost sectioning,,8,short,
637,lost sectioning,,8,short,
636,lost sectioning,,8,short,
635,RE#hg#MR1s4#R#sr95#5932#08,sr95,8,short,tb
634,cell body stain - section 32,AG,8,short,
633,RE#hg#MR1s4#R#sch2#5888#08,sch2,8,short,tb
632,lost sectioning,,8,short,
631,lost sectioning,,8,short,
630,lost sectioning,,8,short,
629,RE#hg#MR1s4#R#rx82#5884#08,rx82,8,short,tb
628,RE#hg#MR1s4#R#afdx#5924#08,afdx,8,short,tb
627,RE#hg#MR1s4#R#dpog#5904#08,dpog,8,short,tb
626,lost sectioning,,8,short,
625,myelin stain - section 41,MS,8,short,
624,lost sectioning,,8,short,
623,spare; in freezer,,8,short,
622,RE#hg#MR1s4#R#dpmg#5908#08,dpmg,8,short,tb
621,RE#HG#MR1S4#R#pire#9524#08,pire,8,short,tb
620,RE#hg#MR1s4#R#ly34#5928#08,ly34,8,short,tb
619,RE#hg#MR1s4#R#cpog#5896#08,cpog,8,short,tb
618,RE#hg#MR1s4#R#cpmg#5900#08,cpmg,8,short,tb
617,RE#hg#MR1s4#R#keta#5872#08,keta,8,short,tb
616,spare; in freezer,,8,short,
615,damg; not digitized,,8,short,
614,spare; in freezer,,8,short,
613,dpdp; not digitized,,8,short,
612,spare; in freezer,,8,short,
611,spare; in freezer,,8,short,
610,spare; in freezer,,8,short,
609,spare; in freezer,,8,short,
608,spare; in freezer,,8,short,
607,spare; in freezer,,8,short,
606,lost sectioning,,8,short,
605,lost sectioning,,8,short,
604,RE#hg#MR1s4#R#ampa#5844#09,ampa,9,short,tb
603,RE#hg#MR1s4#R#kain#5848#09,kain,9,short,tb
602,RE#hg#MR1s4#R#mk80#5852#09,mk80,9,short,tb
601,RE#hg#MR1s4#R#musc#5856#09,musc,9,short,tb
600,RE#hg#MR1s4#R#cgp5#5912#09,cgp5,9,short,tb
599,RE#HG#MR1S4#R#flum#5916#09,flum,9,short,tb
598,cell body stain - section 13,AG,9,short,
597,lost sectioning,,9,short,
596,RE#hg#MR1s4#R#oxot#5864#09,oxot,9,short,tb
595,lost sectioning,,9,short,
594,RE#HG#MR1S4#R#damp#5920#09,damp,9,short,tb
593,myelin stain - section 20,MS,9,short,
592,RE#hg#MR1s4#R#epib#5892#09,epib,9,short,tb
591,RE#hg#MR1s4#R#praz#5876#09,praz,9,short,tb
590,RE#hg#MR1s4#R#uk14#5880#09,uk14,9,short,tb
589,spare; in freezer,,9,short,
588,RE#HG#MR1S4#R#dpat#5868#09,dpat,9,short,tb
587,lost sectioning,,9,short,
586,lost sectioning,,9,short,
585,lost sectioning,,9,short,
584,RE#hg#MR1s4#R#sr95#5932#09,sr95,9,short,tb
583,cell body stain - section 32,AG,9,short,
582,RE#hg#MR1s4#R#sch2#5888#09,sch2,9,short,tb
581,RE#hg#MR1s4#R#rx82#5884#09,rx82,9,short,tb
580,RE#hg#MR1s4#R#afdx#5924#09,afdx,9,short,tb
579,RE#hg#MR1s4#R#dpog#5904#09,dpog,9,short,tb
578,myelin stain - section 41,MS,9,short,
577,RE#hg#MR1s4#R#dpmg#5908#09,dpmg,9,short,tb
576,RE#HG#MR1S4#R#pire#9525#09,pire,9,short,tb
575,RE#hg#MR1s4#R#ly34#5928#09,ly34,9,short,tb
574,RE#hg#MR1s4#R#cpog#5896#09,cpog,9,short,tb
573,RE#hg#MR1s4#R#cpmg#5900#09,cpmg,9,short,tb
572,RE#hg#MR1s4#R#keta#5872#09,keta,9,short,tb
571,spare; in freezer,,9,short,
570,damg; not digitized,,9,short,
569,spare; in freezer,,9,short,
568,spare; in freezer,,9,short,
567,dpdp; not digitized,,9,short,
566,spare; in freezer,,9,short,
565,spare; in freezer,,9,short,
564,spare; in freezer,,9,short,
563,spare; in freezer,,9,short,
562,spare; in freezer,,9,short,
561,lost sectioning,,9,short,
560,lost sectioning,,9,short,
559,lost sectioning,,9,short,
558,lost sectioning,,9,short,
557,lost sectioning,,9,short,
556,lost sectioning,,9,short,
555,lost sectioning,,9,short,
554,lost sectioning,,9,short,
553,RE#hg#MR1s4#R#ampa#5844#10,ampa,10,long,tb
552,ampa (ub); not digitized,ampa,10,long,ub
551,lost sectioning,,10,long,
550,RE#hg#MR1s4#R#kain#5848#10,kain,10,long,tb
549,kain (ub); not digitized,kain,10,long,ub
548,RE#hg#MR1s4#R#mk80#5852#10,mk80,10,long,tb
547,RE#hg#MR1s4#R#mk80#5852#ub,mk80,10,long,tb
546,lost sectioning,,10,long,
545,RE#hg#MR1s4#R#muscub#5856#10,musc,10,long,ub
544,lost sectioning,,10,long,
543,RE#hg#MR1s4#R#musc#5856#10,musc,10,long,tb
542,RE#hg#MR1s4#R#cgp5#5912#10,cgp5,10,long,tb
541,RE#hg#MR1s4#R#cgp5ub#5912#10,cgp5,10,long,ub
540,RE#HG#MR1S4#R#flum#5916#10,flum,10,long,tb
539,RE#HG#MR1S4#R#flum#5916#UB,flum,10,long,ub
538,lost sectioning,,10,long,
537,cell body stain - section 13,AG,10,long,
536,lost sectioning,,10,long,
535,lost sectioning,,10,long,
534,RE#hg#MR1s4#R#oxot#5864#10,oxot,10,long,tb
533,oxot (ub); not digitized,oxot,10,long,ub
532,lost sectioning,,10,long,
531,RE#HG#MR1S4#R#damp#5920#10,damp,10,long,tb
530,RE#HG#MR1S4#R#damp#5920#UB,damp,10,long,ub
529,myelin stain - section 20,MS,10,long,
528,lost sectioning,,10,long,
527,lost sectioning,,10,long,
526,RE#hg#MR1s4#R#epib#5892#10,epib,10,long,tb
525,lost sectioning,,10,long,
524,lost sectioning,,10,long,
523,lost sectioning,,10,long,
522,lost sectioning,,10,long,
521,lost sectioning,,10,long,
520,lost sectioning,,10,long,
519,epib (ub); not digitized,epib,10,long,ub
518,lost sectioning,,10,long,
517,lost sectioning,,10,long,
516,lost sectioning,,10,long,
515,lost sectioning,,10,long,
514,lost sectioning,,10,long,
513,lost sectioning,,10,long,
512,lost sectioning,,10,long,
511,lost sectioning,,10,long,
510,lost sectioning,,10,long,
509,RE#hg#MR1s4#R#praz#5876#10,praz,10,long,tb
508,RE#hg#MR1s4#R#prazub#5876#10,praz,10,long,ub
507,RE#hg#MR1s4#R#uk14#5880#10,uk14,10,long,tb
506,uk14 (ub); not digitized,uk14,10,long,ub
505,spare; in freezer,,10,long,
504,RE#HG#MR1S4#R#dpat#5868#10,dpat,10,long,tb
503,RE#HG#MR1S4#R#dpat#5868#UB,dpat,10,long,ub
502,RE#hg#MR1s4#R#sr95#5932#10,sr95,10,long,tb
501,RE#hg#MR1s4#R#sr95#5932#UB,sr95,10,long,ub
500,cell body stain - section 32,AG,10,long,
499,RE#hg#MR1s4#R#sch2#5888#10,sch2,10,long,tb
498,RE#hg#MR1s4#R#sch2ub#5888#10,sch2,10,long,ub
497,RE#hg#MR1s4#R#rx82#5884#10,rx82,10,long,tb
496,rx82 (ub); not digitized,rx82,10,long,ub
495,RE#hg#MR1s4#R#afdx#5924#10,afdx,10,long,tb
494,lost sectioning,,10,long,
493,afdx (ub); not digitized,afdx,10,long,ub
492,RE#hg#MR1s4#R#dpog#5904#10,dpog,10,long,tb
491,RE#hg#MR1s4#R#dpogub#5904#10,dpog,10,long,ub
490,spare; in freezer,,10,long,
489,myelin stain - section 41,MS,10,long,
488,RE#hg#MR1s4#R#dpmg#5908#10,dpmg,10,long,tb
487,RE#hg#MR1s4#R#dpmgub#5908#10,dpmg,10,long,ub
486,RE#HG#MR1S4#R#pire#9525#10,pire,10,long,tb
485,pire (ub); not digitized,pire,10,long,ub
484,RE#hg#MR1s4#R#ly34#5928#10,ly34,10,long,tb
483,ly34 (ub); not digitized,ly34,10,long,ub
482,RE#hg#MR1s4#R#cpog#5896#10,cpog,10,long,tb
481,lost sectioning,,10,long,
480,lost sectioning,,10,long,
479,lost sectioning,,10,long,
478,RE#hg#MR1s4#R#cpogub#5896#10,cpog,10,long,ub
477,lost sectioning,,10,long,
476,lost sectioning,,10,long,
475,RE#hg#MR1s4#R#cpmg#5900#10,cpmg,10,long,tb
474,RE#hg#MR1s4#R#cpmgub#5900#10,cpmg,10,long,ub
473,RE#hg#MR1s4#R#keta#5872#10,keta,10,long,tb
472,lost sectioning,,10,long,
471,RE#hg#MR1s4#R#ketaub#5872#10,keta,10,long,ub
