number,name,ligand,/,staining,Repeat,length,TB/UB,,
176,myelin,stain,-,section,20,MS,4,short,
177,QY#HG#MR1s2#R#epib#6165#04,epib,4,short,tb,,,,
178,QY#HG#MR1s2#R#praz#6149#04,praz,4,short,tb,,,,
179,QY#HG#MR1s2#R#uk14#6153#04,uk14,4,short,tb,,,,
180,fall;,not,digitized,,4,short,,,
181,lost,sectioning,,4,short,,,,
182,QY#HG#MR1s2#R#dpat#6141#04,dpat,4,short,tb,,,,
183,QY#HG#MR1s2#R#sr95#6205#04,sr95,4,short,tb,,,,
184,cell,body,stain,-,section,32,AG,4,short
185,QY#HG#MR1s2#R#sch2#6161#04,sch2,4,short,tb,,,,
186,QY#HG#MR1s2#R#rx82#6157#04,rx82,4,short,tb,,,,
187,QY#HG#MR1s2#R#afdx#6197#04,afdx,4,short,tb,,,,
188,QY#HG#MR1s2#R#dpog#6177#04,dpog,4,short,tb,,,,
189,myelin,stain,-,section,41,MS,4,short,
190,QY#HG#MR1s2#R#dpmg#6181#04,dpmg,4,short,tb,,,,
191,QY#HG#MR1s2#R#ly34#6201#04,ly34,4,short,tb,,,,
192,spare;,in,freezer,,4,short,,,
193,QY#HG#MR1s2#R#cpog#6169#04,cpog,4,short,tb,,,,
194,QY#HG#MR1s2#R#cpmg#6173#04,cpmg,4,short,tb,,,,
195,QY#HG#MR1s2#R#keta#6145#04,keta,4,short,tb,,,,
196,lost,sectioning,,4,short,,,,
197,QY#HG#MR1S2#R#pire#9513#04,pire,4,short,tb,,,,
198,lost,sectioning,,4,short,,,,
199,damg;,not,digitized,,4,short,,,
200,dpdp;,not,digitized,,4,short,,,
201,spare;,in,freezer,,4,short,,,
202,spare;,in,freezer,,4,short,,,
203,spare;,in,freezer,,4,short,,,
204,spare;,in,freezer,,4,short,,,
205,spare;,in,freezer,,4,short,,,
206,spare;,in,freezer,,4,short,,,
207,spare;,in,freezer,,4,short,,,
208,spare;,in,freezer,,4,short,,,
209,QY#HG#MR1s2#R#ampa#6117#05,ampa,5,short,tb,,,,
210,lost,sectioning,,5,short,,,,
211,QY#HG#MR1s2#R#kain#6121#05,kain,5,short,tb,,,,
212,QY#HG#MR1s2#R#mk80#6125#05,mk80,5,short,tb,,,,
213,QY#HG#MR1s2#R#musc#6129#05,musc,5,short,tb,,,,
214,QY#HG#MR1s2#R#cgp5#6185#05,cgp5,5,short,tb,,,,
215,QY#HG#MR1s2#R#flum#6189#05,flum,5,short,tb,,,,
216,cell,body,stain,-,section,13,AG,5,short
217,QY#HG#MR1s2#R#oxot#6137#05,oxot,5,short,tb,,,,
218,lost,sectioning,,5,short,,,,
219,QY#HG#MR1s2#R#damp#6193#05,damp,5,short,tb,,,,
220,myelin,stain,-,section,20,MS,5,short,
221,QY#HG#MR1s2#R#epib#6165#05,epib,5,short,tb,,,,
222,lost,sectioning,,5,short,,,,
223,lost,sectioning,,5,short,,,,
224,QY#HG#MR1s2#R#praz#6149#05,praz,5,short,tb,,,,
225,QY#HG#MR1s2#R#uk14#6153#05,uk14,5,short,tb,,,,
226,fall;,not,digitized,,5,short,,,
227,QY#HG#MR1s2#R#dpat#6141#05,dpat,5,short,tb,,,,
228,lost,sectioning,,5,short,,,,
229,QY#HG#MR1s2#R#sr95#6205#05,sr95,5,short,tb,,,,
230,cell,body,stain,-,section,32,AG,5,short
231,QY#HG#MR1s2#R#sch2#6161#05,sch2,5,short,tb,,,,
232,QY#HG#MR1s2#R#rx82#6157#05,rx82,5,short,tb,,,,
233,QY#HG#MR1s2#R#afdx#6197#05,afdx,5,short,tb,,,,
234,QY#HG#MR1s2#R#dpog#6177#05,dpog,5,short,tb,,,,
235,myelin,stain,-,section,41,MS,5,short,
236,QY#HG#MR1s2#R#dpmg#6181#05,dpmg,5,short,tb,,,,
237,QY#HG#MR1s2#R#ly34#6201#05,ly34,5,short,tb,,,,
238,spare;,in,freezer,,5,short,,,
239,QY#HG#MR1s2#R#cpog#6169#05,cpog,5,short,tb,,,,
240,QY#HG#MR1s2#R#cpmg#6173#05,cpmg,5,short,tb,,,,
241,lost,sectioning,,5,short,,,,
242,QY#HG#MR1s2#R#keta#6145#05,keta,5,short,tb,,,,
243,QY#HG#MR1S2#R#pire#9513#05,pire,5,short,tb,,,,
244,damg;,not,digitized,,5,short,,,
245,dpdp;,not,digitized,,5,short,,,
246,spare;,in,freezer,,5,short,,,
247,spare;,in,freezer,,5,short,,,
248,spare;,in,freezer,,5,short,,,
249,spare;,in,freezer,,5,short,,,
250,spare;,in,freezer,,5,short,,,
251,spare;,in,freezer,,5,short,,,
252,spare;,in,freezer,,5,short,,,
253,spare;,in,freezer,,5,short,,,
254,lost,sectioning,,5,short,,,,
255,lost,sectioning,,5,short,,,,
256,lost,sectioning,,5,short,,,,
257,QY#HG#MR1s2#R#ampa#6117#06,ampa,6,short,tb,,,,
258,lost,sectioning,,6,short,,,,
259,lost,sectioning,,6,short,,,,
260,lost,sectioning,,6,short,,,,
261,lost,sectioning,,6,short,,,,
262,QY#HG#MR1s2#R#kain#6121#06,kain,6,short,tb,,,,
263,QY#HG#MR1s2#R#mk80#6125#06,mk80,6,short,tb,,,,
264,QY#HG#MR1s2#R#musc#6129#06,musc,6,short,tb,,,,
265,QY#HG#MR1s2#R#cgp5#6185#06,cgp5,6,short,tb,,,,
266,QY#HG#MR1s2#R#flum#6189#06,flum,6,short,tb,,,,
267,cell,body,stain,-,section,13,AG,6,short
268,QY#HG#MR1s2#R#oxot#6137#06,oxot,6,short,tb,,,,
269,lost,sectioning,,6,short,,,,
270,lost,sectioning,,6,short,,,,
271,lost,sectioning,,6,short,,,,
272,lost,sectioning,,6,short,,,,
273,lost,sectioning,,6,short,,,,
274,QY#HG#MR1s2#R#damp#6193#06,damp,6,short,tb,,,,
275,myelin,stain,-,section,20,MS,6,short,
276,QY#HG#MR1s2#R#epib#6165#06,epib,6,short,tb,,,,
277,QY#HG#MR1s2#R#praz#6149#06,praz,6,short,tb,,,,
278,lost,sectioning,,6,short,,,,
279,lost,sectioning,,6,short,,,,
280,QY#HG#MR1s2#R#uk14#6153#06,uk14,6,short,tb,,,,
281,fall;,not,digitized,,6,short,,,
282,QY#HG#MR1s2#R#dpat#6141#06,dpat,6,short,tb,,,,
283,QY#HG#MR1s2#R#sr95#6205#06,sr95,6,short,tb,,,,
284,QY#HG#MR1s2#R#sch2#6161#06,sch2,6,short,tb,,,,
285,cell,body,stain,-,section,32,AG,6,short
286,QY#HG#MR1s2#R#rx82#6157#06,rx82,6,short,tb,,,,
287,QY#HG#MR1s2#R#afdx#6197#06,afdx,6,short,tb,,,,
288,QY#HG#MR1s2#R#dpog#6177#06,dpog,6,short,tb,,,,
289,myelin,stain,-,section,41,MS,6,short,
290,lost,sectioning,,6,short,,,,
291,lost,sectioning,,6,short,,,,
292,QY#HG#MR1s2#R#dpmg#6181#06,dpmg,6,short,tb,,,,
293,spare;,in,freezer,,6,short,,,
294,QY#HG#MR1s2#R#ly34#6201#06,ly34,6,short,tb,,,,
295,lost,sectioning,,6,short,,,,
296,lost,sectioning,,6,short,,,,
297,QY#HG#MR1s2#R#cpog#6169#06,cpog,6,short,tb,,,,
298,QY#HG#MR1s2#R#cpmg#6173#06,cpmg,6,short,tb,,,,
299,lost,sectioning,,6,short,,,,
300,QY#HG#MR1s2#R#keta#6145#06,keta,6,short,tb,,,,
301,lost,sectioning,,6,short,,,,
302,QY#HG#MR1S2#R#pire#9513#06,pire,6,short,tb,,,,
303,damg;,not,digitized,,6,short,,,
304,dpdp;,not,digitized,,6,short,,,
305,spare;,in,freezer,,6,short,,,
306,spare;,in,freezer,,6,short,,,
307,spare;,in,freezer,,6,short,,,
308,spare;,in,freezer,,6,short,,,
309,spare;,in,freezer,,6,short,,,
310,spare;,in,freezer,,6,short,,,
311,QY#HG#MR1s2#R#ampa#6118#07,ampa,7,short,tb,,,,
312,lost,sectioning,,7,short,,,,
313,lost,sectioning,,7,short,,,,
314,QY#HG#MR1s2#R#kain#6122#07,kain,7,short,tb,,,,
315,QY#HG#MR1s2#R#mk80#6126#07,mk80,7,short,tb,,,,
316,QY#HG#MR1s2#R#musc#6129#07,musc,7,short,tb,,,,
317,QY#HG#MR1s2#R#cgp5#6186#07,cgp5,7,short,tb,,,,
318,QY#HG#MR1s2#R#flum#6189#07,flum,7,short,tb,,,,
319,cell,body,stain,-,section,13,AG,7,short
320,QY#HG#MR1s2#R#oxot#6137#07,oxot,7,short,tb,,,,
321,lost,sectioning,,7,short,,,,
322,QY#HG#MR1s2#R#damp#6194#07,damp,7,short,tb,,,,
323,myelin,stain,-,section,20,MS,7,short,
324,QY#HG#MR1s2#R#epib#6165#07,epib,7,short,tb,,,,
325,QY#HG#MR1s2#R#praz#6149#07,praz,7,short,tb,,,,
326,QY#HG#MR1s2#R#uk14#6153#07,uk14,7,short,tb,,,,
327,fall;,not,digitized,,7,short,,,
328,QY#HG#MR1s2#R#dpat#6141#07,dpat,7,short,tb,,,,
329,QY#HG#MR1s2#R#sr95#6205#07,sr95,7,short,tb,,,,
330,QY#HG#MR1s2#R#sch2#6161#07,sch2,7,short,tb,,,,
331,cell,body,stain,-,section,32,AG,7,short
332,lost,sectioning,,7,short,,,,
333,lost,sectioning,,7,short,,,,
334,lost,sectioning,,7,short,,,,
335,QY#HG#MR1s2#R#rx82#6157#07,rx82,7,short,tb,,,,
336,QY#HG#MR1s2#R#afdx#6198#07,afdx,7,short,tb,,,,
337,QY#HG#MR1s2#R#dpog#6178#07,dpog,7,short,tb,,,,
338,myelin,stain,-,section,41,MS,7,short,
339,QY#HG#MR1s2#R#dpmg#6181#07,dpmg,7,short,tb,,,,
340,QY#HG#MR1s2#R#ly34#6201#07,ly34,7,short,tb,,,,
341,spare;,in,freezer,,7,short,,,
342,QY#HG#MR1s2#R#cpog#6170#07,cpog,7,short,tb,,,,
343,QY#HG#MR1s2#R#cpmg#6174#07,cpmg,7,short,tb,,,,
344,lost,sectioning,,7,short,,,,
345,QY#HG#MR1s2#R#keta#6145#07,keta,7,short,tb,,,,
346,QY#HG#MR1S2#R#pire#9513#07,pire,7,short,tb,,,,
347,damg;,not,digitized,,7,short,,,
348,spare;,in,freezer,,7,short,,,
349,dpdp;,not,digitized,,7,short,,,
350,spare;,in,freezer,,7,short,,,
351,spare;,in,freezer,,7,short,,,
352,spare;,in,freezer,,7,short,,,
353,spare;,in,freezer,,7,short,,,
354,spare;,in,freezer,,7,short,,,
355,spare;,in,freezer,,7,short,,,
356,spare;,in,freezer,,7,short,,,
357,QY#HG#MR1s2#R#ampa#6118#08,ampa,8,short,tb,,,,
358,lost,sectioning,,8,short,,,,
359,lost,sectioning,,8,short,,,,
360,lost,sectioning,,8,short,,,,
361,lost,sectioning,,8,short,,,,
362,QY#HG#MR1s2#R#kain#6122#08,kain,8,short,tb,,,,
363,QY#HG#MR1s2#R#mk80#6126#08,mk80,8,short,tb,,,,
364,QY#HG#MR1s2#R#musc#6129#08,musc,8,short,tb,,,,
365,QY#HG#MR1s2#R#cgp5#6186#08,cgp5,8,short,tb,,,,
366,QY#HG#MR1s2#R#flum#6189#08,flum,8,short,tb,,,,
367,lost,sectioning,,8,short,,,,
368,cell,body,stain,-,section,13,AG,8,short
369,QY#HG#MR1s2#R#oxot#6137#08,oxot,8,short,tb,,,,
370,lost,sectioning,,8,short,,,,
371,QY#HG#MR1s2#R#damp#6194#08,damp,8,short,tb,,,,
372,lost,sectioning,,8,short,,,,
373,lost,sectioning,,8,short,,,,
374,lost,sectioning,,8,short,,,,
375,myelin,stain,-,section,20,MS,8,short,
376,QY#HG#MR1s2#R#epib#6165#08,epib,8,short,tb,,,,
377,lost,sectioning,,8,short,,,,
378,QY#HG#MR1s2#R#uk14#6153#08,uk14,8,short,tb,,,,
379,lost,sectioning,,8,short,,,,
380,lost,sectioning,,8,short,,,,
381,fall;,not,digitized,,8,short,,,
382,QY#HG#MR1s2#R#dpat#6141#08,dpat,8,short,tb,,,,
383,QY#HG#MR1s2#R#sr95#6205#08,sr95,8,short,tb,,,,
384,QY#HG#MR1s2#R#praz#6149#08,praz,8,short,tb,,,,
385,QY#HG#MR1s2#R#sch2#6161#08,sch2,8,short,tb,,,,
386,QY#HG#MR1s2#R#rx82#6157#08,rx82,8,short,tb,,,,
387,cell,body,stain,-,section,32,AG,8,short
388,lost,sectioning,,8,short,,,,
389,lost,sectioning,,8,short,,,,
390,lost,sectioning,,8,short,,,,
391,QY#HG#MR1s2#R#afdx#6198#08,afdx,8,short,tb,,,,
392,QY#HG#MR1s2#R#dpog#6178#08,dpog,8,short,tb,,,,
393,myelin,stain,-,section,41,MS,8,short,
394,QY#HG#MR1s2#R#dpmg#6181#08,dpmg,8,short,tb,,,,
395,QY#HG#MR1s2#R#ly34#6201#08,ly34,8,short,tb,,,,
396,spare;,in,freezer,,8,short,,,
397,QY#HG#MR1s2#R#cpog#6170#08,cpog,8,short,tb,,,,
398,lost,sectioning,,8,short,,,,
399,QY#HG#MR1s2#R#cpmg#6174#08,cpmg,8,short,tb,,,,
400,QY#HG#MR1s2#R#keta#6145#08,keta,8,short,tb,,,,
401,spare;,in,freezer,,8,short,,,
402,QY#HG#MR1S2#R#pire#9514#08,pire,8,short,tb,,,,
403,dpdp;,not,digitized,,8,short,,,
404,spare;,in,freezer,,8,short,,,
405,spare;,in,freezer,,8,short,,,
406,spare;,in,freezer,,8,short,,,
407,spare;,in,freezer,,8,short,,,
408,spare;,in,freezer,,8,short,,,
409,spare;,in,freezer,,8,short,,,
410,spare;,in,freezer,,8,short,,,
411,spare;,in,freezer,,8,short,,,
412,QY#HG#MR1s2#R#ampa#6118#09,ampa,9,short,tb,,,,
413,lost,sectioning,,9,short,,,,
414,lost,sectioning,,9,short,,,,
415,lost,sectioning,,9,short,,,,
416,lost,sectioning,,9,short,,,,
417,QY#HG#MR1s2#R#kain#6122#09,kain,9,short,tb,,,,
418,QY#HG#MR1s2#R#mk80#6126#09,mk80,9,short,tb,,,,
419,QY#HG#MR1s2#R#musc#6129#09,musc,9,short,tb,,,,
420,QY#HG#MR1s2#R#cgp5#6186#09,cgp5,9,short,tb,,,,
421,QY#HG#MR1s2#R#flum#6189#09,flum,9,short,tb,,,,
422,cell,body,stain,-,section,13,AG,9,short
423,QY#HG#MR1s2#R#oxot#6137#09,oxot,9,short,tb,,,,
424,lost,sectioning,,9,short,,,,
425,QY#HG#MR1s2#R#damp#6194#09,damp,9,short,tb,,,,
426,myelin,stain,-,section,20,MS,9,short,
427,lost,sectioning,,9,short,,,,
428,QY#HG#MR1s2#R#epib#6165#09,epib,9,short,tb,,,,
429,QY#HG#MR1s2#R#praz#6149#09,praz,9,short,tb,,,,
430,QY#HG#MR1s2#R#uk14#6153#09,uk14,9,short,tb,,,,
431,fall;,not,digitized,,9,short,,,
432,QY#HG#MR1s2#R#dpat#6141#09,dpat,9,short,tb,,,,
433,QY#HG#MR1s2#R#sr95#6205#09,sr95,9,short,tb,,,,
434,QY#HG#MR1s2#R#sch2#6161#09,sch2,9,short,tb,,,,
435,cell,body,stain,-,section,32,AG,9,short
436,QY#HG#MR1s2#R#rx82#6157#09,rx82,9,short,tb,,,,
437,QY#HG#MR1s2#R#afdx#6198#09,afdx,9,short,tb,,,,
438,QY#HG#MR1s2#R#dpog#6178#09,dpog,9,short,tb,,,,
439,myelin,stain,-,section,41,MS,9,short,
440,lost,sectioning,,9,short,,,,
441,QY#HG#MR1s2#R#dpmg#6181#09,dpmg,9,short,tb,,,,
442,QY#HG#MR1s2#R#ly34#6201#09,ly34,9,short,tb,,,,
443,spare;,in,freezer,,9,short,,,
444,QY#HG#MR1s2#R#cpog#6170#09,cpog,9,short,tb,,,,
445,QY#HG#MR1s2#R#cpmg#6174#09,cpmg,9,short,tb,,,,
446,QY#HG#MR1s2#R#keta#6145#09,keta,9,short,tb,,,,
447,QY#HG#MR1S2#R#pire#9514#09,pire,9,short,tb,,,,
448,damg;,not,digitized,,9,short,,,
449,dpdp;,not,digitized,,9,short,,,
450,spare;,in,freezer,,9,short,,,
451,spare;,in,freezer,,9,long,,,
452,spare;,in,freezer,,9,long,,,
453,spare;,in,freezer,,9,long,,,
454,spare;,in,freezer,,9,long,,,
455,spare;,in,freezer,,9,long,,,
456,spare;,in,freezer,,9,long,,,
457,spare;,in,freezer,,9,long,,,
458,QY#HG#MR1s2#R#ampa#6118#10,ampa,10,long,tb,,,,
459,ampa,(ub);,not,digitized,ampa,10,long,ub,
460,QY#HG#MR1s2#R#kain#6122#10,kain,10,long,tb,,,,
461,QY#HG#MR1s2#R#kain#6122#ub,kain,10,long,ub,,,,
462,lost,sectioning,,10,long,,,,
463,lost,sectioning,,10,long,,,,
464,QY#HG#MR1s2#R#mk80#6126#10,mk80,10,long,tb,,,,
465,lost,sectioning,,10,long,,,,
466,lost,sectioning,,10,long,,,,
467,lost,sectioning,,10,long,,,,
468,lost,sectioning,,10,long,,,,
469,lost,sectioning,,10,long,,,,
470,mk80,(ub);,not,digitized,mk80,10,long,ub,
471,QY#HG#MR1s2#R#musc#6130#10,musc,10,long,tb,,,,
472,musc,(ub);,not,digitized,musc,10,long,ub,
473,QY#HG#MR1s2#R#cgp5#6186#10,cgp5,10,long,tb,,,,
474,cgp5,(ub);,not,digitized,cgp5,10,long,ub,
475,QY#HG#MR1s2#R#flum#6190#10,flum,10,long,tb,,,,
476,lost,sectioning,,10,long,,,,
477,flum,(ub);,not,digitized,flum,10,long,ub,
478,cell,body,stain,-,section,13,AG,10,long
479,QY#HG#MR1s2#R#oxot#6138#10,oxot,10,long,tb,,,,
480,lost,sectioning,,10,long,,,,
481,lost,sectioning,,10,long,,,,
482,QY#HG#MR1S2#R#oxot#6138#UB,oxot,10,long,ub,,,,
483,QY#HG#MR1s2#R#damp#6194#10,damp,10,long,tb,,,,
