number,name,ligand / staining,repeat,length,TB/UB
46,spare; in freezer,,1,short,
47,spare; in freezer,,1,short,
48,spare; in freezer,,1,short,
49,spare; in freezer,,1,short,
50,RD#HG#MR1s3#R#ampa#5751#02,ampa,2,short,tb
51,RD#HG#MR1s3#R#kain#5755#02,kain,2,short,tb
52,RD#HG#MR1s3#R#mk80#5759#02,mk80,2,short,tb
53,RD#HG#MR1s3#R#musc#5763#02,musc,2,short,tb
54,RD#HG#MR1s3#R#cgp5#5819#02,cgp5,2,short,tb
55,RD#HG#MR1s3#R#flum#5823#02,flum,2,short,tb
56,cell body stain - section 13,AG,2,short,
57,lost sectioning,,2,short,
58,RD#HG#MR1s3#R#oxot#5771#02,oxot,2,short,tb
59,RD#HG#MR1s3#R#damp#5827#02,damp,2,short,tb
60,myelin stain - section 20,MS,2,short,
61,RD#HG#MR1s3#R#epib#5799#02,epib,2,short,tb
62,RD#HG#MR1s3#R#praz#5783#02,praz,2,short,tb
63,RD#HG#MR1s3#R#uk14#5787#02,uk14,2,short,tb
64,spare; in freezer,,2,short,
65,RD#HG#MR1s3#R#dpat#5775#02,dpat,2,short,tb
66,RD#HG#MR1s3#R#sr95#5839#02,sr95,2,short,tb
67,cell body stain - section 32,AG,2,short,
68,RD#HG#MR1s3#R#sch2#5795#02,sch2,2,short,tb
69,RD#HG#MR1s3#R#rx82#5791#02,rx82,2,short,tb
70,RD#HG#MR1s3#R#afdx#5831#02,afdx,2,short,tb
71,RD#HG#MR1s3#R#dpog#5811#02,dpog,2,short,tb
72,myelin stain - section 41,MS,2,short,
73,lost sectioning,,2,short,
74,lost sectioning,,2,short,
75,RD#HG#MR1s3#R#dpmg#5815#02,dpmg,2,short,tb
76,spare; in freezer,,2,short,
77,RD#HG#MR1s3#R#ly34#5835#02,ly34,2,short,tb
78,lost sectioning,,2,short,
79,RD#HG#MR1s3#R#cpog#5803#02,cpog,2,short,tb
80,RD#HG#MR1s3#R#cpmg#5807#02,cpmg,2,short,tb
81,RD#HG#MR1s3#R#keta#5779#02,keta,2,short,tb
82,spare; in freezer,,2,short,
83,damg; not digitized,,2,short,
84,RD#HG#MR1S3#R#pire#9518#02,pire,2,short,tb
85,dpdp; not digitized,,2,short,
86,spare; in freezer,,2,short,
87,spare; in freezer,,2,short,
88,spare; in freezer,,2,short,
89,spare; in freezer,,2,short,
90,spare; in freezer,,2,short,
91,spare; in freezer,,2,short,
92,spare; in freezer,,2,short,
93,RD#HG#MR1s3#R#ampa#5751#03,ampa,3,short,tb
94,RD#HG#MR1s3#R#kain#5755#03,kain,3,short,tb
95,RD#HG#MR1s3#R#mk80#5759#03,mk80,3,short,tb
96,lost sectioning,,3,short,
97,RD#HG#MR1s3#R#musc#5763#03,musc,3,short,tb
98,lost sectioning,,3,short,
99,RD#HG#MR1s3#R#cgp5#5819#03,cgp5,3,short,tb
100,lost sectioning,,3,short,
101,lost sectioning,,3,short,
102,RD#HG#MR1s3#R#flum#5823#03,flum,3,short,tb
103,cell body stain - section 13,AG,3,short,
104,lost sectioning,,3,short,
105,RD#HG#MR1s3#R#oxot#5771#03,oxot,3,short,tb
106,RD#HG#MR1s3#R#damp#5827#03,damp,3,short,tb
107,myelin stain - section 20,MS,3,short,
108,lost sectioning,,3,short,
109,RD#HG#MR1s3#R#epib#5799#03,epib,3,short,tb
110,RD#HG#MR1s3#R#praz#5783#03,praz,3,short,tb
111,RD#HG#MR1s3#R#uk14#5787#03,uk14,3,short,tb
112,spare; in freezer,,3,short,
113,RD#HG#MR1s3#R#dpat#5775#03,dpat,3,short,tb
114,RD#HG#MR1s3#R#sr95#5839#03,sr95,3,short,tb
115,cell body stain - section 32,AG,3,short,
116,RD#HG#MR1s3#R#sch2#5795#03,sch2,3,short,tb
117,RD#HG#MR1s3#R#rx82#5791#03,rx82,3,short,tb
118,RD#HG#MR1s3#R#afdx#5831#03,afdx,3,short,tb
119,lost sectioning,,3,short,
120,RD#HG#MR1s3#R#dpog#5811#03,dpog,3,short,tb
121,myelin stain - section 41,MS,3,short,
122,lost sectioning,,3,short,
123,RD#HG#MR1s3#R#dpmg#5815#03,dpmg,3,short,tb
124,spare; in freezer,,3,short,
125,lost sectioning,,3,short,
126,lost sectioning,,3,short,
127,RD#HG#MR1s3#R#ly34#5835#03,ly34,3,short,tb
128,RD#HG#MR1s3#R#cpog#5803#03,cpog,3,short,tb
129,RD#HG#MR1s3#R#cpmg#5807#03,cpmg,3,short,tb
130,RD#HG#MR1s3#R#keta#5779#03,keta,3,short,tb
131,spare; in freezer,,3,short,
132,damg; not digitized,,3,short,
133,RD#HG#MR1S3#R#pire#9518#03,pire,3,short,tb
134,dpdp; not digitized,,3,short,
135,spare; in freezer,,3,short,
136,spare; in freezer,,3,short,
137,spare; in freezer,,3,short,
138,spare; in freezer,,3,short,
139,spare; in freezer,,3,short,
140,spare; in freezer,,3,short,
141,RD#HG#MR1s3#R#ampa#5751#04,ampa,4,short,tb
142,RD#HG#MR1s3#R#kain#5755#04,kain,4,short,tb
143,RD#HG#MR1s3#R#mk80#5759#04,mk80,4,short,tb
144,RD#HG#MR1s3#R#musc#5763#04,musc,4,short,tb
145,RD#HG#MR1s3#R#cgp5#5819#04,cgp5,4,short,tb
146,RD#HG#MR1s3#R#flum#5823#04,flum,4,short,tb
147,cell body stain - section 13,AG,4,short,
148,lost sectioning,,4,short,
149,RD#HG#MR1s3#R#oxot#5771#04,oxot,4,short,tb
150,RD#HG#MR1s3#R#damp#5827#04,damp,4,short,tb
151,myelin stain - section 20,MS,4,short,
152,RD#HG#MR1s3#R#epib#5799#04,epib,4,short,tb
153,RD#HG#MR1s3#R#praz#5783#04,praz,4,short,tb
154,RD#HG#MR1s3#R#uk14#5787#04,uk14,4,short,tb
155,spare; in freezer,,4,short,
156,RD#HG#MR1s3#R#dpat#5775#04,dpat,4,short,tb
157,RD#HG#MR1s3#R#sr95#5839#04,sr95,4,short,tb
158,cell body stain - section 32,AG,4,short,
159,RD#HG#MR1s3#R#sch2#5795#04,sch2,4,short,tb
160,RD#HG#MR1s3#R#rx82#5791#04,rx82,4,short,tb
161,RD#HG#MR1s3#R#afdx#5831#04,afdx,4,short,tb
162,RD#HG#MR1s3#R#dpog#5811#04,dpog,4,short,tb
163,myelin stain - section 41,MS,4,short,
164,lost sectioning,,4,short,
165,RD#HG#MR1s3#R#dpmg#5815#04,dpmg,4,short,tb
166,lost sectioning,,4,short,
167,spare; in freezer,,4,short,
168,RD#HG#MR1s3#R#ly34#5835#04,ly34,4,short,tb
169,RD#HG#MR1s3#R#cpog#5803#04,cpog,4,short,tb
170,RD#HG#MR1s3#R#cpmg#5807#04,cpmg,4,short,tb
171,RD#HG#MR1s3#R#keta#5779#04,keta,4,short,tb
172,spare; in freezer,,4,short,
173,damg; not digitized,,4,short,
174,RD#HG#MR1S3#R#pire#9518#04,pire,4,short,tb
175,dpdp; not digitized,,4,short,
176,spare; in freezer,,4,short,
177,spare; in freezer,,4,short,
178,spare; in freezer,,4,short,
179,spare; in freezer,,4,short,
180,spare; in freezer,,4,short,
181,spare; in freezer,,4,short,
182,spare; in freezer,,4,short,
183,lost sectioning,,4,short,
184,lost sectioning,,4,short,
185,RD#HG#MR1s3#R#ampa#5751#05,ampa,5,short,tb
186,RD#HG#MR1s3#R#kain#5755#05,kain,5,short,tb
187,RD#HG#MR1s3#R#mk80#5759#05,mk80,5,short,tb
188,lost sectioning,,5,short,
189,RD#HG#MR1s3#R#musc#5763#05,musc,5,short,tb
190,RD#HG#MR1s3#R#cgp5#5819#05,cgp5,5,short,tb
191,RD#HG#MR1s3#R#flum#5823#05,flum,5,short,tb
192,cell body stain - section 13,AG,5,short,
193,lost sectioning,,5,short,
194,lost sectioning,,5,short,
195,RD#HG#MR1s3#R#oxot#5771#05,oxot,5,short,tb
196,RD#HG#MR1s3#R#damp#5827#05,damp,5,short,tb
197,myelin stain - section 20,MS,5,short,
198,RD#HG#MR1s3#R#epib#5799#05,epib,5,short,tb
199,RD#HG#MR1s3#R#praz#5783#05,praz,5,short,tb
200,RD#HG#MR1s3#R#uk14#5787#05,uk14,5,short,tb
201,spare; in freezer,,5,short,
202,RD#HG#MR1s3#R#dpat#5775#05,dpat,5,short,tb
203,RD#HG#MR1s3#R#sr95#5839#05,sr95,5,short,tb
204,cell body stain - section 32,AG,5,short,
205,RD#HG#MR1s3#R#sch2#5795#05,sch2,5,short,tb
206,RD#HG#MR1s3#R#rx82#5791#05,rx82,5,short,tb
207,RD#HG#MR1s3#R#afdx#5831#05,afdx,5,short,tb
208,RD#HG#MR1s3#R#dpog#5811#05,dpog,5,short,tb
209,myelin stain - section 41,MS,5,short,
210,RD#HG#MR1s3#R#dpmg#5815#05,dpmg,5,short,tb
211,spare; in freezer,,5,short,
212,RD#HG#MR1s3#R#ly34#5835#05,ly34,5,short,tb
213,RD#HG#MR1s3#R#cpog#5803#05,cpog,5,short,tb
214,RD#HG#MR1s3#R#cpmg#5807#05,cpmg,5,short,tb
215,RD#HG#MR1S3#R#pire#9518#05,pire,5,short,tb
216,RD#HG#MR1s3#R#keta#5779#05,keta,5,short,tb
217,spare; in freezer,,5,short,
218,damg; not digitized,,5,short,
219,spare; in freezer,,5,short,
220,dpdp; not digitized,,5,short,
221,spare; in freezer,,5,short,
222,spare; in freezer,,5,short,
223,spare; in freezer,,5,short,
224,spare; in freezer,,5,short,
225,spare; in freezer,,5,short,
226,spare; in freezer,,5,short,
227,RD#HG#MR1s3#R#ampa#5751#06,ampa,6,short,tb
228,RD#HG#MR1s3#R#kain#5755#06,kain,6,short,tb
229,lost sectioning,,6,short,
230,lost sectioning,,6,short,
231,RD#HG#MR1s3#R#mk80#5759#06,mk80,6,short,tb
232,RD#HG#MR1s3#R#musc#5763#06,musc,6,short,tb
233,lost sectioning,,6,short,
234,lost sectioning,,6,short,
235,RD#HG#MR1s3#R#cgp5#5819#06,cgp5,6,short,tb
236,RD#HG#MR1s3#R#flum#5823#06,flum,6,short,tb
237,cell body stain - section 13,AG,6,short,
238,lost sectioning,,6,short,
239,RD#HG#MR1s3#R#oxot#5771#06,oxot,6,short,tb
240,lost sectioning,,6,short,
241,lost sectioning,,6,short,
242,RD#HG#MR1s3#R#damp#5827#06,damp,6,short,tb
243,myelin stain - section 20,MS,6,short,
244,RD#HG#MR1s3#R#epib#5799#06,epib,6,short,tb
245,RD#HG#MR1s3#R#praz#5783#06,praz,6,short,tb
246,RD#HG#MR1s3#R#uk14#5787#06,uk14,6,short,tb
247,spare; in freezer,,6,short,
248,lost sectioning,,6,short,
249,RD#HG#MR1s3#R#dpat#5775#06,dpat,6,short,tb
250,RD#HG#MR1s3#R#sr95#5839#06,sr95,6,short,tb
251,cell body stain - section 32,AG,6,short,
252,RD#HG#MR1s3#R#sch2#5795#06,sch2,6,short,tb
253,RD#HG#MR1s3#R#rx82#5791#06,rx82,6,short,tb
254,RD#HG#MR1s3#R#afdx#5831#06,afdx,6,short,tb
255,lost sectioning,,6,short,
256,RD#HG#MR1s3#R#dpog#5811#06,dpog,6,short,tb
257,myelin stain - section 41,MS,6,short,
258,RD#HG#MR1s3#R#dpmg#5815#06,dpmg,6,short,tb
259,spare; in freezer,,6,short,
260,RD#HG#MR1s3#R#ly34#5835#06,ly34,6,short,tb
261,RD#HG#MR1s3#R#cpog#5803#06,cpog,6,short,tb
262,RD#HG#MR1s3#R#cpmg#5807#06,cpmg,6,short,tb
263,RD#HG#MR1s3#R#keta#5779#06,keta,6,short,tb
264,spare; in freezer,,6,short,
265,damg; not digitized,,6,short,
266,RD#HG#MR1S3#R#pire#9519#06,pire,6,short,tb
267,dpdp; not digitized,,6,short,
268,spare; in freezer,,6,short,
269,spare; in freezer,,6,short,
270,spare; in freezer,,6,short,
271,spare; in freezer,,6,short,
272,spare; in freezer,,6,short,
273,spare; in freezer,,6,short,
274,RD#HG#MR1s3#R#ampa#5751#07,ampa,7,short,tb
275,lost sectioning,,7,short,
276,lost sectioning,,7,short,
277,lost sectioning,,7,short,
278,RD#HG#MR1s3#R#kain#5755#07,kain,7,short,tb
279,RD#HG#MR1s3#R#mk80#5759#07,mk80,7,short,tb
280,RD#HG#MR1s3#R#musc#5763#07,musc,7,short,tb
281,RD#HG#MR1s3#R#cgp5#5819#07,cgp5,7,short,tb
282,RD#HG#MR1s3#R#flum#5823#07,flum,7,short,tb
283,cell body stain - section 13,AG,7,short,
284,lost sectioning,,7,short,
285,RD#HG#MR1s3#R#oxot#5771#07,oxot,7,short,tb
286,RD#HG#MR1s3#R#damp#5827#07,damp,7,short,tb
287,lost sectioning,,7,short,
288,myelin stain - section 20,MS,7,short,
289,RD#HG#MR1s3#R#epib#5799#07,epib,7,short,tb
290,RD#HG#MR1s3#R#praz#5783#07,praz,7,short,tb
291,RD#HG#MR1s3#R#uk14#5787#07,uk14,7,short,tb
292,lost sectioning,,7,short,
293,spare; in freezer,,7,short,
294,RD#HG#MR1s3#R#dpat#5775#07,dpat,7,short,tb
295,RD#HG#MR1s3#R#sr95#5839#07,sr95,7,short,tb
296,cell body stain - section 32,AG,7,short,
297,RD#HG#MR1s3#R#sch2#5795#07,sch2,7,short,tb
298,RD#HG#MR1s3#R#rx82#5791#07,rx82,7,short,tb
299,RD#HG#MR1s3#R#afdx#5831#07,afdx,7,short,tb
300,RD#HG#MR1s3#R#dpog#5811#07,dpog,7,short,tb
301,myelin stain - section 41,MS,7,short,
302,RD#HG#MR1s3#R#dpmg#5815#07,dpmg,7,short,tb
303,spare; in freezer,,7,short,
304,RD#HG#MR1s3#R#ly34#5835#07,ly34,7,short,tb
305,RD#HG#MR1s3#R#cpog#5803#07,cpog,7,short,tb
306,RD#HG#MR1s3#R#cpmg#5807#07,cpmg,7,short,tb
307,RD#HG#MR1s3#R#keta#5779#07,keta,7,short,tb
308,pire - section lost,pire,7,short,tb
309,damg; not digitized,,7,short,
310,spare; in freezer,,7,short,
311,dpdp; not digitized,,7,short,
312,spare; in freezer,,7,short,
313,spare; in freezer,,7,short,
314,spare; in freezer,,7,short,
315,spare; in freezer,,7,short,
316,spare; in freezer,,7,short,
317,spare; in freezer,,7,short,
318,spare; in freezer,,7,short,
319,RD#HG#MR1s3#R#ampa#5752#08,ampa,8,short,tb
320,RD#HG#MR1s3#R#kain#5756#08,kain,8,short,tb
321,RD#HG#MR1s3#R#mk80#5760#08,mk80,8,short,tb
322,RD#HG#MR1s3#R#musc#5764#08,musc,8,short,tb
323,RD#HG#MR1s3#R#cgp5#5820#08,cgp5,8,short,tb
324,RD#HG#MR1s3#R#flum#5824#08,flum,8,short,tb
325,cell body stain - section 13,AG,8,short,
326,lost sectioning,,8,short,
327,RD#HG#MR1s3#R#oxot#5772#08,oxot,8,short,tb
328,RD#HG#MR1s3#R#damp#5828#08,damp,8,short,tb
329,myelin stain - section 20,MS,8,short,
330,RD#HG#MR1s3#R#epib#5800#08,epib,8,short,tb
331,RD#HG#MR1s3#R#praz#5784#08,praz,8,short,tb
332,RD#HG#MR1s3#R#uk14#5788#08,uk14,8,short,tb
333,spare; in freezer,,8,short,
334,RD#HG#MR1s3#R#dpat#5776#08,dpat,8,short,tb
335,RD#HG#MR1s3#R#sr95#5840#08,sr95,8,short,tb
336,cell body stain - section 32,AG,8,short,
337,RD#HG#MR1s3#R#sch2#5796#08,sch2,8,short,tb
338,RD#HG#MR1s3#R#rx82#5792#08,rx82,8,short,tb
339,RD#HG#MR1s3#R#afdx#5832#08,afdx,8,short,tb
340,RD#HG#MR1s3#R#dpog#5812#08,dpog,8,short,tb
341,myelin stain - section 41,MS,8,short,
342,lost sectioning,,8,short,
343,lost sectioning,,8,short,
344,RD#HG#MR1S3#R#dpmg#5816#08,dpmg,8,short,tb
345,spare; in freezer,,8,short,
346,RD#HG#MR1s3#R#ly34#5836#08,ly34,8,short,tb
347,RD#HG#MR1s3#R#cpog#5804#08,cpog,8,short,tb
348,RD#HG#MR1s3#R#cpmg#5808#08,cpmg,8,short,tb
349,RD#HG#MR1s3#R#keta#5780#08,keta,8,short,tb
350,lost sectioning,,8,short,
351,damg; not digitized,,8,short,
352,RD#HG#MR1S3#R#pire#9519#08,pire,8,short,tb
353,spare; in freezer,,8,short,
354,dpdp; not digitized,,8,short,
355,spare; in freezer,,8,short,
356,spare; in freezer,,8,short,
357,spare; in freezer,,8,short,
358,spare; in freezer,,8,short,
359,spare; in freezer,,8,short,
360,spare; in freezer,,8,short,
361,spare; in freezer,,8,short,
362,lost sectioning,,8,short,
363,lost sectioning,,8,short,
364,RD#HG#MR1s3#R#ampa#5752#09,ampa,9,short,tb
365,lost sectioning,,9,short,
366,RD#HG#MR1s3#R#kain#5756#09,kain,9,short,tb
367,RD#HG#MR1s3#R#mk80#5760#09,mk80,9,short,tb
368,RD#HG#MR1s3#R#musc#5764#09,musc,9,short,tb
369,RD#HG#MR1s3#R#cgp5#5820#09,cgp5,9,short,tb
370,RD#HG#MR1s3#R#flum#5824#09,flum,9,short,tb
371,cell body stain - section 13,AG,9,short,
372,lost sectioning,,9,short,
373,RD#HG#MR1s3#R#oxot#5772#09,oxot,9,short,tb
374,RD#HG#MR1s3#R#damp#5828#09,damp,9,short,tb
375,myelin stain - section 20,MS,9,short,
376,RD#HG#MR1s3#R#epib#5800#09,epib,9,short,tb
377,RD#HG#MR1s3#R#praz#5784#09,praz,9,short,tb
378,RD#HG#MR1s3#R#uk14#5788#09,uk14,9,short,tb
379,spare; in freezer,,9,short,
380,RD#HG#MR1s3#R#dpat#5776#09,dpat,9,short,tb
381,RD#HG#MR1s3#R#sr95#5840#09,sr95,9,short,tb
382,cell body stain - section 32,AG,9,short,
383,RD#HG#MR1s3#R#sch2#5796#09,sch2,9,short,tb
384,RD#HG#MR1s3#R#rx82#5792#09,rx82,9,short,tb
385,RD#HG#MR1s3#R#afdx#5832#09,afdx,9,short,tb
386,RD#HG#MR1s3#R#dpog#5812#09,dpog,9,short,tb
387,myelin stain - section 41,MS,9,short,
388,RD#HG#MR1S3#R#dpmg#5816#09,dpmg,9,short,tb
389,spare; in freezer,,9,short,
390,RD#HG#MR1s3#R#ly34#5836#09,ly34,9,short,tb
391,RD#HG#MR1s3#R#cpog#5804#09,cpog,9,short,tb
392,RD#HG#MR1s3#R#cpmg#5808#09,cpmg,9,short,tb
393,RD#HG#MR1s3#R#keta#5780#09,keta,9,short,tb
394,damg; not digitized,,9,short,
395,pire - section lost,pire,9,short,tb
396,dpdp; not digitized,,9,short,
397,spare; in freezer,,9,short,
398,spare; in freezer,,9,short,
399,spare; in freezer,,9,short,
400,spare; in freezer,,9,short,
401,spare; in freezer,,9,short,
402,spare; in freezer,,9,short,
403,spare; in freezer,,9,short,
404,spare; in freezer,,9,short,
405,lost sectioning,,9,short,
406,lost sectioning,,9,short,
407,lost sectioning,,9,short,
408,lost sectioning,,9,short,
409,lost sectioning,,9,short,
410,lost sectioning,,9,short,
411,RD#HG#MR1s3#R#ampa#5752#10,ampa,10,long,tb
412,ampa (ub); not digitized,ampa,10,long,ub
413,RD#HG#MR1s3#R#kain#5756#10,kain,10,long,tb
414,kain (ub); not digitized,kain,10,long,ub
415,RD#HG#MR1s3#R#mk80#5760#10,mk80,10,long,tb
416,mk80 (ub); not digitized,mk80,10,long,ub
417,RD#HG#MR1s3#R#musc#5764#10,musc,10,long,tb
418,musc (ub); not digitized,musc,10,long,ub
419,RD#HG#MR1s3#R#cgp5#5820#10,cgp5,10,long,tb
420,cgp5 (ub); not digitized,cgp5,10,long,ub
421,RD#HG#MR1s3#R#flum#5824#10,flum,10,long,tb
422,flum (ub); not digitized,flum,10,long,ub
423,cell body stain - section 13,AG,10,long,
424,lost sectioning,,10,long,
425,lost sectioning,,10,long,
426,lost sectioning,,10,long,
427,RD#HG#MR1s3#R#oxot#5772#10,oxot,10,long,tb
428,oxot (ub); not digitized,oxot,10,long,ub
429,RD#HG#MR1s3#R#damp#5828#10,damp,10,long,tb
430,damp (ub); not digitized,damp,10,long,ub
431,myelin stain - section 20,MS,10,long,
432,RD#HG#MR1s3#R#epib#5800#10,epib,10,long,tb
433,epib (ub); not digitized,epib,10,long,ub
434,RD#HG#MR1s3#R#praz#5784#10,praz,10,long,tb
435,praz (ub); not digitized,praz,10,long,ub
436,RD#HG#MR1s3#R#uk14#5788#10,uk14,10,long,tb
437,uk14 (ub); not digitized,uk14,10,long,ub
438,spare; in freezer,,10,long,
439,RD#HG#MR1s3#R#dpat#5776#10,dpat,10,long,tb
440,dpat (ub); not digitized,dpat,10,long,ub
441,RD#HG#MR1s3#R#sr95#5840#10,sr95,10,long,tb
442,sr95 (ub); not digitized,sr95,10,long,ub
443,cell body stain - section 32,AG,10,long,
444,RD#HG#MR1s3#R#sch2#5796#10,sch2,10,long,tb
445,RD#HG#MR1s3#R#sch2#5796#UB,sch2,10,long,ub
446,RD#HG#MR1s3#R#rx82#5792#10,rx82,10,long,tb
447,rx82 (ub); not digitized,rx82,10,long,ub
448,RD#HG#MR1s3#R#afdx#5832#10,afdx,10,long,tb
449,afdx (ub); not digitized,afdx,10,long,ub
450,RD#HG#MR1s3#R#dpog#5812#10,dpog,10,long,tb
451,dpog (ub); not digitized,dpog,10,long,ub
452,myelin stain - section 41,MS,10,long,
453,RD#HG#MR1S3#R#dpmg#5816#10,dpmg,10,long,tb
454,RD#HG#MR1S3#R#dpmg#5816#UB,dpmg,10,long,ub
455,RD#HG#MR1s3#R#ly34#5836#10,ly34,10,long,tb
456,ly34 (ub); not digitized,ly34,10,long,ub
457,spare; in freezer,,10,long,ub
458,RD#HG#MR1s3#R#cpog#5804#10,cpog,10,long,tb
459,RD#HG#MR1s3#R#cpog#5804#UB,cpog,10,long,ub
460,RD#HG#MR1s3#R#cpmg#5808#10,cpmg,10,long,tb
461,cpmg (ub); not digitized,cpmg,10,long,ub
462,RD#HG#MR1s3#R#keta#5780#10,keta,10,long,tb
463,RD#HG#MR1s3#R#keta#5780#UB,keta,10,long,ub
464,lost sectioning,,10,long,
465,spare; in freezer,,10,long,
466,spare; in freezer,,10,long,
467,damg; not digitized,,10,long,
468,damg (ub); not digitized,,10,long,
469,RD#HG#MR1S3#R#pire#9519#10,pire,10,long,tb
470,RD#HG#MR1S3#R#pire#9519#UB,pire,10,long,ub
471,dpdp; not digitized,,10,long,
472,dpdp (ub); not digitized,,10,long,
473,spare; in freezer,,10,long,
474,spare; in freezer,,10,long,
475,spare; in freezer,,10,long,
476,spare; in freezer,,10,long,
477,spare; in freezer,,10,long,
478,spare; in freezer,,10,long,
479,spare; in freezer,,10,long,
480,spare; in freezer,,10,long,
481,spare; in freezer,,10,long,
482,spare; in freezer,,10,long,
483,lost sectioning,,10,long,
484,lost sectioning,,10,long,
485,lost sectioning,,10,long,
486,RD#HG#MR1s3#R#ampa#5752#11,ampa,11,short,tb
487,RD#HG#MR1s3#R#kain#5756#11,kain,11,short,tb
488,RD#HG#MR1s3#R#mk80#5760#11,mk80,11,short,tb
489,RD#HG#MR1s3#R#musc#5764#11,musc,11,short,tb
490,RD#HG#MR1s3#R#cgp5#5820#11,cgp5,11,short,tb
491,RD#HG#MR1s3#R#flum#5824#11,flum,11,short,tb
492,cell body stain - section 13,AG,11,short,
493,lost sectioning,,11,short,
494,RD#HG#MR1s3#R#oxot#5772#11,oxot,11,short,tb
495,lost sectioning,,11,short,
496,RD#HG#MR1s3#R#damp#5828#11,damp,11,short,tb
497,myelin stain - section 20,MS,11,short,
498,RD#HG#MR1s3#R#epib#5800#11,epib,11,short,tb
499,RD#HG#MR1s3#R#praz#5784#11,praz,11,short,tb
500,RD#HG#MR1s3#R#uk14#5788#11,uk14,11,short,tb
501,spare; in freezer,,11,short,
502,RD#HG#MR1s3#R#dpat#5776#11,dpat,11,short,tb
503,lost sectioning,,11,short,
504,lost sectioning,,11,short,
505,RD#HG#MR1s3#R#sr95#5840#11,sr95,11,short,tb
506,cell body stain - section 32,AG,11,short,
507,RD#HG#MR1s3#R#sch2#5796#11,sch2,11,short,tb
508,RD#HG#MR1s3#R#rx82#5792#11,rx82,11,short,tb
509,RD#HG#MR1s3#R#afdx#5832#11,afdx,11,short,tb
510,RD#HG#MR1s3#R#dpog#5812#11,dpog,11,short,tb
511,myelin stain - section 41,MS,11,short,
512,RD#HG#MR1S3#R#dpmg#5816#11,dpmg,11,short,tb
513,spare; in freezer,,11,short,
514,RD#HG#MR1s3#R#ly34#5836#11,ly34,11,short,tb
515,RD#HG#MR1s3#R#cpog#5804#11,cpog,11,short,tb
516,RD#HG#MR1s3#R#cpmg#5808#11,cpmg,11,short,tb
517,RD#HG#MR1s3#R#keta#5780#11,keta,11,short,tb
518,spare; in freezer,,11,short,
519,damg; not digitized,,11,short,
520,RD#HG#MR1S3#R#pire#9520#11,pire,11,short,tb
521,dpdp; not digitized,,11,short,
522,spare; in freezer,,11,short,
523,spare; in freezer,,11,short,
524,spare; in freezer,,11,short,
525,spare; in freezer,,11,short,
526,spare; in freezer,,11,short,
527,spare; in freezer,,11,short,
528,spare; in freezer,,11,short,
529,lost sectioning,,11,short,
530,RD#HG#MR1s3#R#ampa#5753#12,ampa,12,short,tb
531,RD#HG#MR1s3#R#kain#5757#12,kain,12,short,tb
532,RD#HG#MR1s3#R#mk80#5761#12,mk80,12,short,tb
533,lost sectioning,,12,short,
534,RD#HG#MR1s3#R#musc#5765#12,musc,12,short,tb
