number,name,ligand,repeat,length,TB/UB
69,QW#HG#MR1s1#R#cgp5#5667#02,cgp5,2,short,tb
70,QW#HG#MR1S1#R#flum#5669#02,flum,2,short,tb
71,cell body stain - section 13,AG,2,short,
72,lost sectioning,,2,short,
73,QW#HG#MR1s1#R#oxot#5643#02,oxot,2,short,tb
74,QW#HG#MR1s1#R#damp#5671#02,damp,2,short,tb
75,myelin stain - section 20,MS,2,short,
76,lost sectioning,,2,short,
77,QW#HG#MR1s1#R#epib#5657#02,epib,2,short,tb
78,QW#HG#MR1s1#R#praz#5649#02,praz,2,short,tb
79,lost sectioning,,2,short,
80,QW#HG#MR1s1#R#uk14#5651#02,uk14,2,short,tb
81,spare; in freezer,,2,short,
82,QW#HG#MR1s1#R#dpat#5645#02,dpat,2,short,tb
83,QW#HG#MR1s1#R#sr95#5677#02,sr95,2,short,tb
84,cell body stain - section 32,AG,2,short,
85,QW#HG#MR1s1#R#sch2#5655#02,sch2,2,short,tb
86,QW#HG#MR1s1#R#rx82#5653#02,rx82,2,short,tb
87,QW#HG#MR1s1#R#afdx#5673#02,afdx,2,short,tb
88,QW#HG#MR1s1#R#dpog#5663#02,dpog,2,short,tb
89,myelin stain - section 41,MS,2,short,
90,QW#HG#MR1S1#R#dpmg#5665#02,dpmg,2,short,tb
91,spare; in freezer,,2,short,
92,lost sectioning,,2,short,
93,lost sectioning,,2,short,
94,QW#HG#MR1s1#R#ly34#5675#02,ly34,2,short,tb
95,QW#HG#MR1s1#R#cpog#5659#02,cpog,2,short,tb
96,QW#HG#MR1s1#R#cpmg#5661#02,cpmg,2,short,tb
97,lost sectioning,,2,short,
98,QW#HG#MR1s1#R#keta#5647#02,keta,2,short,tb
99,QW#HG#MR1S1#R#pire#9510#02,pire,2,short,tb
100,damg; not digitized,,2,short,
101,QW#HG#MR1S1#R#ampa#9380#02,ampa,2,short,tb
102,dpdp; not digitized,,2,short,
103,spare; in freezer,,2,short,
104,spare; in freezer,,2,short,
105,spare; in freezer,,2,short,
106,spare; in freezer,,2,short,
107,spare; in freezer,,2,short,
108,spare; in freezer,,2,short,
109,spare; in freezer,,2,short,
110,spare; in freezer,,2,short,
111,lost sectioning,,2,short,
112,lost sectioning,,2,short,
113,lost sectioning,,2,short,
114,lost sectioning,,2,short,
115,lost sectioning,,2,short,
116,lost sectioning,,2,short,
117,lost sectioning,,2,short,
118,lost sectioning,,2,short,
119,lost sectioning,,2,short,
120,QW#HG#MR1s1#R#kain#5635#03,kain,3,short,tb
121,QW#HG#MR1s1#R#mk80#5637#03,mk80,3,short,tb
122,QW#HG#MR1s1#R#musc#5639#03,musc,3,short,tb
123,QW#HG#MR1s1#R#cgp5#5667#03,cgp5,3,short,tb
124,lost sectioning,,3,short,
125,lost sectioning,,3,short,
126,QW#HG#MR1S1#R#flum#5669#03,flum,3,short,tb
127,cell body stain - section 13,AG,3,short,
128,lost sectioning,,3,short,
129,QW#HG#MR1s1#R#oxot#5643#03,oxot,3,short,tb
130,QW#HG#MR1s1#R#damp#5671#03,damp,3,short,tb
131,lost sectioning,,3,short,
132,myelin stain - section 20,MS,3,short,
133,lost sectioning,,3,short,
134,QW#HG#MR1s1#R#epib#5657#03,epib,3,short,tb
135,QW#HG#MR1s1#R#praz#5649#03,praz,3,short,tb
136,QW#HG#MR1s1#R#uk14#5651#03,uk14,3,short,tb
137,spare; in freezer,,3,short,
138,QW#HG#MR1s1#R#dpat#5645#03,dpat,3,short,tb
139,QW#HG#MR1s1#R#sr95#5677#03,sr95,3,short,tb
140,cell body stain - section 32,AG,3,short,
141,QW#HG#MR1s1#R#sch2#5655#03,sch2,3,short,tb
142,lost sectioning,,3,short,
143,lost sectioning,,3,short,
144,QW#HG#MR1s1#R#rx82#5653#03,rx82,3,short,tb
145,QW#HG#MR1s1#R#afdx#5673#03,afdx,3,short,tb
146,QW#HG#MR1s1#R#dpog#5663#03,dpog,3,short,tb
147,lost sectioning,,3,short,
148,myelin stain - section 41,MS,3,short,
149,QW#HG#MR1S1#R#dpmg#5665#03,dpmg,3,short,tb
150,spare; in freezer,,3,short,
151,lost sectioning,,3,short,
152,lost sectioning,,3,short,
153,lost sectioning,,3,short,
154,lost sectioning,,3,short,
155,lost sectioning,,3,short,
156,lost sectioning,,3,short,
157,QW#HG#MR1s1#R#ly34#5675#03,ly34,3,short,tb
158,lost sectioning,,3,short,
159,lost sectioning,,3,short,
160,lost sectioning,,3,short,
161,lost sectioning,,3,short,
162,lost sectioning,,3,short,
163,lost sectioning,,3,short,
164,lost sectioning,,3,short,
165,lost sectioning,,3,short,
166,QW#HG#MR1s1#R#cpog#5659#03,cpog,3,short,tb
167,QW#HG#MR1s1#R#cpmg#5661#03,cpmg,3,short,tb
168,lost sectioning,,3,short,
169,lost sectioning,,3,short,
170,QW#HG#MR1s1#R#keta#5647#03,keta,3,short,tb
171,QW#HG#MR1S1#R#pire#9510#03,pire,3,short,tb
172,damg; not digitized,,3,short,
173,QW#HG#MR1S1#R#ampa#9380#03,ampa,3,short,tb
174,dpdp; not digitized,,3,short,
175,spare; in freezer,,3,short,
176,spare; in freezer,,3,short,
177,spare; in freezer,,3,short,
178,spare; in freezer,,3,short,
179,spare; in freezer,,3,short,
180,spare; in freezer,,3,short,
181,spare; in freezer,,3,short,
182,spare; in freezer,,3,short,
183,lost sectioning,,3,short,
184,lost sectioning,,3,short,
185,lost sectioning,,3,short,
186,lost sectioning,,3,short,
187,lost sectioning,,3,short,
188,lost sectioning,,3,short,
189,lost sectioning,,3,short,
190,lost sectioning,,3,short,
191,lost sectioning,,3,short,
192,lost sectioning,,3,short,
193,lost sectioning,,3,short,
194,lost sectioning,,3,short,
195,lost sectioning,,3,short,
196,lost sectioning,,3,short,
197,lost sectioning,,3,short,
198,lost sectioning,,3,short,
199,lost sectioning,,3,short,
200,lost sectioning,,3,short,
201,lost sectioning,,3,short,
202,QW#HG#MR1s1#R#kain#5635#04,kain,4,short,tb
203,lost sectioning,,4,short,
204,QW#HG#MR1s1#R#mk80#5637#04,mk80,4,short,tb
205,lost sectioning,,4,short,
206,QW#HG#MR1s1#R#musc#5639#04,musc,4,short,tb
207,lost sectioning,,4,short,
208,QW#HG#MR1s1#R#cgp5#5667#04,cgp5,4,short,tb
209,QW#HG#MR1S1#R#flum#5669#04,flum,4,short,tb
210,lost sectioning,,4,short,
211,cell body stain - section 13,AG,4,short,
212,lost sectioning,,4,short,
213,QW#HG#MR1s1#R#oxot#5643#04,oxot,4,short,tb
214,QW#HG#MR1s1#R#damp#5671#04,damp,4,short,tb
215,myelin stain - section 20,MS,4,short,
216,QW#HG#MR1s1#R#epib#5657#04,epib,4,short,tb
217,QW#HG#MR1s1#R#praz#5649#04,praz,4,short,tb
218,lost sectioning,,4,short,
219,QW#HG#MR1s1#R#uk14#5651#04,uk14,4,short,tb
220,spare; in freezer,,4,short,
221,lost sectioning,,4,short,
222,cell body stain - section 32,AG,4,short,
223,QW#HG#MR1s1#R#dpat#5645#04,dpat,4,short,tb
224,QW#HG#MR1s1#R#sr95#5677#04,sr95,4,short,tb
225,QW#HG#MR1S1#R#flum#5669#05,flum,4,short,tb
226,QW#HG#MR1s1#R#sch2#5655#04,sch2,4,short,tb
227,QW#HG#MR1s1#R#rx82#5653#04,rx82,4,short,tb
228,QW#HG#MR1s1#R#afdx#5673#04,afdx,4,short,tb
229,QW#HG#MR1s1#R#dpog#5663#04,dpog,4,short,tb
230,myelin stain - section 41,MS,4,short,
231,QW#HG#MR1S1#R#dpmg#5665#04,dpmg,4,short,tb
232,spare; in freezer,,4,short,
233,QW#HG#MR1s1#R#ly34#5675#04,ly34,4,short,tb
234,QW#HG#MR1s1#R#cpog#5659#04,cpog,4,short,tb
235,QW#HG#MR1s1#R#cpmg#5661#04,cpmg,4,short,tb
236,QW#HG#MR1s1#R#keta#5647#04,keta,4,short,tb
237,QW#HG#MR1S1#R#pire#9510#04,pire,4,short,tb
238,damg; not digitized,,4,short,
239,QW#HG#MR1S1#R#ampa#9380#04,ampa,4,short,tb
240,dpdp; not digitized,,4,short,
241,spare; in freezer,,4,short,
242,spare; in freezer,,4,short,
243,spare; in freezer,,4,short,
244,spare; in freezer,,4,short,
245,spare; in freezer,,4,short,
246,spare; in freezer,,4,short,
247,spare; in freezer,,4,short,
248,spare; in freezer,,4,short,
249,QW#HG#MR1s1#R#kain#5635#05,kain,5,short,tb
250,lost sectioning,,5,short,
251,lost sectioning,,5,short,
252,QW#HG#MR1s1#R#mk80#5637#05,mk80,5,short,tb
253,QW#HG#MR1s1#R#musc#5639#05,musc,5,short,tb
254,QW#HG#MR1s1#R#cgp5#5667#05,cgp5,5,short,tb
255,lost sectioning,,5,short,
256,QW#HG#MR1S1#R#flum#5669#05,flum,5,short,tb
257,cell body stain - section 13,AG,5,short,
258,QW#HG#MR1s1#R#oxot#5643#05,oxot,5,short,tb
259,QW#HG#MR1s1#R#damp#5671#05,damp,5,short,tb
260,myelin stain - section 20,MS,5,short,
261,QW#HG#MR1s1#R#epib#5657#05,epib,5,short,tb
262,QW#HG#MR1s1#R#praz#5649#05,praz,5,short,tb
263,QW#HG#MR1s1#R#uk14#5651#05,uk14,5,short,tb
264,spare; in freezer,,5,short,
265,QW#HG#MR1s1#R#dpat#5645#05,dpat,5,short,tb
266,QW#HG#MR1s1#R#sr95#5677#05,sr95,5,short,tb
267,cell body stain - section 32,AG,5,short,
268,QW#HG#MR1s1#R#sch2#5655#05,sch2,5,short,tb
269,QW#HG#MR1s1#R#rx82#5653#05,rx82,5,short,tb
270,QW#HG#MR1s1#R#afdx#5673#05,afdx,5,short,tb
271,QW#HG#MR1s1#R#dpog#5663#05,dpog,5,short,tb
272,myelin stain - section 41,MS,5,short,
273,QW#HG#MR1S1#R#dpmg#5665#05,dpmg,5,short,tb
274,spare; in freezer,,5,short,
275,QW#HG#MR1s1#R#ly34#5675#05,ly34,5,short,tb
276,lost sectioning,,5,short,
277,QW#HG#MR1s1#R#cpog#5659#05,cpog,5,short,tb
278,QW#HG#MR1s1#R#cpmg#5661#05,cpmg,5,short,tb
279,QW#HG#MR1s1#R#keta#5647#05,keta,5,short,tb
280,QW#HG#MR1S1#R#pire#9510#05,pire,5,short,tb
281,damg; not digitized,,5,short,
282,QW#HG#MR1S1#R#ampa#9380#05,ampa,5,short,tb
283,dpdp; not digitized,,5,short,
284,lost sectioning,,5,short,
285,lost sectioning,,5,short,
286,lost sectioning,,5,short,
287,lost sectioning,,5,short,
288,lost sectioning,,5,short,
289,lost sectioning,,5,short,
290,lost sectioning,,5,short,
291,lost sectioning,,5,short,
292,lost sectioning,,5,short,
293,lost sectioning,,5,short,
294,lost sectioning,,5,short,
295,lost sectioning,,5,short,
296,lost sectioning,,5,short,
297,lost sectioning,,5,short,
298,lost sectioning,,5,short,
299,lost sectioning,,5,short,
300,QW#HG#MR1s1#R#kain#5635#06,kain,6,short,tb
301,QW#HG#MR1s1#R#mk80#5637#06,mk80,6,short,tb
302,QW#HG#MR1s1#R#musc#5639#06,musc,6,short,tb
303,QW#HG#MR1s1#R#cgp5#5667#06,cgp5,6,short,tb
304,QW#HG#MR1S1#R#flum#5669#06,flum,6,short,tb
305,cell body stain - section 13,AG,6,short,
306,lost sectioning,,6,short,
307,QW#HG#MR1s1#R#oxot#5643#06,oxot,6,short,tb
308,QW#HG#MR1s1#R#damp#5671#06,damp,6,short,tb
309,lost sectioning,,6,short,
310,lost sectioning,,6,short,
311,myelin stain - section 20,MS,6,short,
312,QW#HG#MR1s1#R#epib#5657#06,epib,6,short,tb
313,QW#HG#MR1s1#R#praz#5649#06,praz,6,short,tb
314,QW#HG#MR1s1#R#uk14#5651#06,uk14,6,short,tb
315,spare; in freezer,,6,short,
316,QW#HG#MR1s1#R#dpat#5645#06,dpat,6,short,tb
317,lost sectioning,,6,short,
318,lost sectioning,,6,short,
319,lost sectioning,,6,short,
320,lost sectioning,,6,short,
321,QW#HG#MR1s1#R#sr95#5677#06,sr95,6,short,tb
322,cell body stain - section 32,AG,6,short,
323,lost sectioning,,6,short,
324,QW#HG#MR1s1#R#rx82#5653#06,rx82,6,short,tb
325,QW#HG#MR1s1#R#afdx#5673#06,afdx,6,short,tb
326,QW#HG#MR1s1#R#dpog#5663#06,dpog,6,short,tb
327,myelin stain - section 41,MS,6,short,
328,QW#HG#MR1S1#R#dpmg#5665#06,dpmg,6,short,tb
329,spare; in freezer,,6,short,
330,lost sectioning,,6,short,
331,lost sectioning,,6,short,
332,lost sectioning,,6,short,
333,lost sectioning,,6,short,
334,QW#HG#MR1s1#R#ly34#5675#06,ly34,6,short,tb
335,QW#HG#MR1s1#R#cpog#5659#06,cpog,6,short,tb
336,QW#HG#MR1s1#R#sch2#5655#06,sch2,6,short,tb
337,QW#HG#MR1s1#R#cpmg#5661#06,cpmg,6,short,tb
338,QW#HG#MR1s1#R#keta#5647#06,keta,6,short,tb
339,QW#HG#MR1S1#R#pire#9510#06,pire,6,short,tb
340,damg; not digitized,,6,short,
341,QW#HG#MR1S1#R#ampa#9380#06,ampa,6,short,tb
342,dpdp; not digitized,,6,short,
343,spare; in freezer,,6,short,
344,spare; in freezer,,6,short,
345,spare; in freezer,,6,short,
346,spare; in freezer,,6,short,
347,spare; in freezer,,6,short,
348,spare; in freezer,,6,short,
349,spare; in freezer,,6,short,
350,spare; in freezer,,6,short,
351,lost sectioning,,6,short,
352,QW#HG#MR1s1#R#kain#5635#07,kain,7,short,tb
353,lost sectioning,,7,short,
354,lost sectioning,,7,short,
355,lost sectioning,,7,short,
356,lost sectioning,,7,short,
357,lost sectioning,,7,short,
358,lost sectioning,,7,short,
359,lost sectioning,,7,short,
360,lost sectioning,,7,short,
361,QW#HG#MR1s1#R#mk80#5637#07,mk80,7,short,tb
362,QW#HG#MR1s1#R#musc#5639#07,musc,7,short,tb
363,QW#HG#MR1s1#R#cgp5#5667#07,cgp5,7,short,tb
364,QW#HG#MR1S1#R#flum#5669#07,flum,7,short,tb
365,cell body stain - section 13,AG,7,short,
366,lost sectioning,,7,short,
367,QW#HG#MR1s1#R#oxot#5643#07,oxot,7,short,tb
368,QW#HG#MR1s1#R#damp#5671#07,damp,7,short,tb
369,myelin stain - section 20,MS,7,short,
370,QW#HG#MR1s1#R#epib#5657#07,epib,7,short,tb
371,QW#HG#MR1s1#R#praz#5649#07,praz,7,short,tb
372,QW#HG#MR1s1#R#uk14#5651#07,uk14,7,short,tb
373,spare; in freezer,,7,short,
374,lost sectioning,,7,short,
375,lost sectioning,,7,short,
376,lost sectioning,,7,short,
377,QW#HG#MR1s1#R#dpat#5645#07,dpat,7,short,tb
378,QW#HG#MR1s1#R#sr95#5677#07,sr95,7,short,tb
379,cell body stain - section 32,AG,7,short,
380,QW#HG#MR1s1#R#sch2#5655#07,sch2,7,short,tb
381,QW#HG#MR1s1#R#rx82#5653#07,rx82,7,short,tb
382,QW#HG#MR1s1#R#afdx#5673#07,afdx,7,short,tb
383,QW#HG#MR1s1#R#dpog#5663#07,dpog,7,short,tb
384,myelin stain - section 41,MS,7,short,
385,QW#HG#MR1S1#R#dpmg#5665#07,dpmg,7,short,tb
386,spare; in freezer,,7,short,
387,lost sectioning,,7,short,
388,ly34 - section lost,ly34,7,short,tb
389,QW#HG#MR1s1#R#cpog#5659#07,cpog,7,short,tb
390,QW#HG#MR1s1#R#cpmg#5661#07,cpmg,7,short,tb
391,QW#HG#MR1s1#R#keta#5647#07,keta,7,short,tb
392,QW#HG#MR1S1#R#pire#9510#07,pire,7,short,tb
393,damg; not digitized,,7,short,
394,lost sectioning,,7,short,
395,QW#HG#MR1S1#R#ampa#9380#07,ampa,7,short,tb
396,dpdp; not digitized,,7,short,
397,spare; in freezer,,7,short,
398,spare; in freezer,,7,short,
399,spare; in freezer,,7,short,
400,spare; in freezer,,7,short,
401,spare; in freezer,,7,short,
402,spare; in freezer,,7,short,
403,spare; in freezer,,7,short,
404,spare; in freezer,,7,short,
405,lost sectioning,,7,short,
406,QW#HG#MR1s1#R#kain#5635#08,kain,8,short,tb
407,QW#HG#MR1s1#R#mk80#5637#08,mk80,8,short,tb
408,QW#HG#MR1s1#R#musc#5639#08,musc,8,short,tb
409,lost sectioning,,8,short,
410,lost sectioning,,8,short,
411,QW#HG#MR1s1#R#cgp5#5667#08,cgp5,8,short,tb
412,QW#HG#MR1S1#R#flum#5669#08,flum,8,short,tb
413,cell body stain - section 13,AG,8,short,
414,lost sectioning,,8,short,
415,QW#HG#MR1s1#R#oxot#5643#08,oxot,8,short,tb
416,QW#HG#MR1s1#R#damp#5671#08,damp,8,short,tb
417,myelin stain - section 20,MS,8,short,
418,lost sectioning,,8,short,
419,lost sectioning,,8,short,
420,lost sectioning,,8,short,
421,QW#HG#MR1s1#R#epib#5657#08,epib,8,short,tb
422,lost sectioning,,8,short,
423,lost sectioning,,8,short,
424,QW#HG#MR1s1#R#praz#5649#08,praz,8,short,tb
425,QW#HG#MR1s1#R#uk14#5651#08,uk14,8,short,tb
426,spare; in freezer,,8,short,
427,QW#HG#MR1s1#R#dpat#5645#08,dpat,8,short,tb
428,QW#HG#MR1s1#R#sr95#5677#08,sr95,8,short,tb
429,cell body stain - section 32,AG,8,short,
430,lost sectioning,,8,short,
431,QW#HG#MR1s1#R#sch2#5655#08,sch2,8,short,tb
432,lost sectioning,,8,short,
433,QW#HG#MR1s1#R#rx82#5653#08,rx82,8,short,tb
434,QW#HG#MR1s1#R#afdx#5673#08,afdx,8,short,tb
435,QW#HG#MR1s1#R#dpog#5663#08,dpog,8,short,tb
436,lost sectioning,,8,short,
437,lost sectioning,,8,short,
438,myelin stain - section 41,MS,8,short,
439,QW#HG#MR1S1#R#dpmg#5665#08,dpmg,8,short,tb
440,spare; in freezer,,8,short,
441,QW#HG#MR1s1#R#ly34#5675#08,ly34,8,short,tb
442,QW#HG#MR1s1#R#cpog#5659#08,cpog,8,short,tb
443,QW#HG#MR1s1#R#cpmg#5661#08,cpmg,8,short,tb
444,lost sectioning,,8,short,
445,lost sectioning,,8,short,
446,QW#HG#MR1s1#R#keta#5647#08,keta,8,short,tb
447,QW#HG#MR1S1#R#pire#9510#08,pire,8,short,tb
448,damg; not digitized,,8,short,
449,QW#HG#MR1S1#R#ampa#9380#08,ampa,8,short,tb
450,spare; in freezer,,8,short,
451,dpdp; not digitized,,8,short,
452,spare; in freezer,,8,short,
453,spare; in freezer,,8,short,
454,spare; in freezer,,8,short,
455,spare; in freezer,,8,short,
456,spare; in freezer,,8,short,
457,spare; in freezer,,8,short,
458,spare; in freezer,,8,short,
459,lost sectioning,,8,short,
460,lost sectioning,,8,short,
461,lost sectioning,,8,short,
462,lost sectioning,,8,short,
463,lost sectioning,,8,short,
464,QW#HG#MR1s1#R#kain#5635#09,kain,9,short,tb
465,QW#HG#MR1s1#R#mk80#5637#09,mk80,9,short,tb
466,QW#HG#MR1s1#R#musc#5639#09,musc,9,short,tb
467,lost sectioning,,9,short,
468,QW#HG#MR1s1#R#cgp5#5667#09,cgp5,9,short,tb
469,QW#HG#MR1S1#R#flum#5669#09,flum,9,short,tb
470,cell body stain - section 13,AG,9,short,
471,lost sectioning,,9,short,
472,QW#HG#MR1s1#R#oxot#5643#09,oxot,9,short,tb
473,lost sectioning,,9,short,
474,QW#HG#MR1s1#R#damp#5671#09,damp,9,short,tb
475,myelin stain - section 20,MS,9,short,
476,QW#HG#MR1s1#R#epib#5657#09,epib,9,short,tb
477,QW#HG#MR1s1#R#praz#5649#09,praz,9,short,tb
478,QW#HG#MR1s1#R#uk14#5651#09,uk14,9,short,tb
479,spare; in freezer,,9,short,
480,QW#HG#MR1s1#R#dpat#5645#09,dpat,9,short,tb
481,QW#HG#MR1s1#R#sr95#5677#09,sr95,9,short,tb
482,cell body stain - section 32,AG,9,short,
483,QW#HG#MR1s1#R#sch2#5655#09,sch2,9,short,tb
484,QW#HG#MR1s1#R#rx82#5653#09,rx82,9,short,tb
485,QW#HG#MR1s1#R#afdx#5673#09,afdx,9,short,tb
486,QW#HG#MR1s1#R#dpog#5663#09,dpog,9,short,tb
487,myelin stain - section 41,MS,9,short,
488,QW#HG#MR1S1#R#dpmg#5665#09,dpmg,9,short,tb
489,spare; in freezer,,9,short,
490,lost sectioning,,9,short,
491,lost sectioning,,9,short,
492,lost sectioning,,9,short,
493,lost sectioning,,9,short,
494,lost sectioning,,9,short,
495,lost sectioning,,9,short,
496,lost sectioning,,9,short,
497,spare; in freezer,,9,short,
498,spare; in freezer,,9,short,
499,spare; in freezer,,9,short,
500,QW#HG#MR1s1#R#ly34#5675#09,ly34,9,short,tb
501,QW#HG#MR1s1#R#cpog#5659#09,cpog,9,short,tb
502,QW#HG#MR1s1#R#cpmg#5661#09,cpmg,9,short,tb
503,QW#HG#MR1s1#R#keta#5647#09,keta,9,short,tb
504,QW#HG#MR1S1#R#pire#9510#09,pire,9,short,tb
505,damg; not digitized,,9,short,
506,QW#HG#MR1S1#R#ampa#9380#09,ampa,9,short,tb
507,dpdp; not digitized,,9,short,
508,damg; not digitized,,9,short,
509,spare; in freezer,,9,short,
510,spare; in freezer,,9,short,
511,spare; in freezer,,9,short,
512,QW#HG#MR1s1#R#kain#5635#10,kain,10,long,tb
513,kain (UB); not digitized,kain,10,long,ub
514,QW#HG#MR1s1#R#mk80#5637#10,mk80,10,long,tb
515,QW#HG#MR1s1#R#mk80#5637#UB,mk80,10,long,ub
516,QW#HG#MR1s1#R#musc#5639#10,musc,10,long,tb
517,musc (UB); not digitized,musc,10,long,ub
518,QW#HG#MR1s1#R#cgp5#5667#10,cgp5,10,long,tb
519,QW#HG#MR1s1#R#cgp5#5667#UB,cgp5,10,long,ub
520,QW#HG#MR1S1#R#flum#5669#10,flum,10,long,tb
521,QW#HG#MR1S1#R#flum#5669#UB,flum,10,long,ub
522,cell body stain - section 13,AG,10,long,
523,lost sectioning,,10,long,
524,lost sectioning,,10,long,
525,QW#HG#MR1s1#R#oxot#5643#10,oxot,10,long,tb
526,oxot (UB); not digitized,oxot,10,long,ub
527,QW#HG#MR1s1#R#damp#5671#10,damp,10,long,tb
528,QW#HG#MR1s1#R#damp#5671#UB,damp,10,long,ub
529,myelin stain - section 20,MS,10,long,
530,QW#HG#MR1s1#R#epib#5657#10,epib,10,long,tb
531,epib (UB); not digitized,epib,10,long,ub
532,QW#HG#MR1s1#R#praz#5649#10,praz,10,long,tb
533,QW#HG#MR1s1#R#praz#5649#ub,praz,10,long,ub
534,QW#HG#MR1s1#R#uk14#5651#10,uk14,10,long,tb
535,uk14 (UB); not digitized,uk14,10,long,ub
536,spare; in freezer,,10,long,
537,spare; in freezer,,10,long,
538,lost sectioning,,10,long,
539,lost sectioning,,10,long,
540,QW#HG#MR1s1#R#dpat#5645#10,dpat,10,long,tb
541,dpat (UB); not digitized,dpat,10,long,ub
542,QW#HG#MR1s1#R#sr95#5677#10,sr95,10,long,tb
543,QW#HG#MR1s1#R#sr95#5677#UB,sr95,10,long,ub
544,cell body stain - section 32,AG,10,long,
545,QW#HG#MR1s1#R#sch2#5655#10,sch2,10,long,tb
546,QW#HG#MR1s1#R#sch2#5655#ub,sch2,10,long,ub
547,QW#HG#MR1s1#R#rx82#5653#10,rx82,10,long,tb
548,rx82 (UB); not digitized,rx82,10,long,ub
549,QW#HG#MR1s1#R#afdx#5673#10,afdx,10,long,tb
550,afdx (UB); not digitized,afdx,10,long,ub
551,QW#HG#MR1s1#R#dpog#5663#10,dpog,10,long,tb
552,lost sectioning,,10,long,
553,QW#HG#MR1s1#R#dpog#5663#UB,dpog,10,long,ub
554,myelin stain - section 41,MS,10,long,
555,QW#HG#MR1S1#R#dpmg#5665#10,dpmg,10,long,tb
556,QW#HG#MR1S1#R#dpmg#5665#UB,dpmg,10,long,ub
557,spare; in freezer,,10,long,
558,QW#HG#MR1s1#R#ly34#5675#10,ly34,10,long,tb
559,ly34 (UB); not digitized,ly34,10,long,ub
560,QW#HG#MR1s1#R#cpog#5659#10,cpog,10,long,tb
561,QW#HG#MR1s1#R#cpog#5659#ub,cpog,10,long,ub
562,QW#HG#MR1s1#R#cpmg#5661#10,cpmg,10,long,tb
563,QW#HG#MR1s1#R#cpmg#5661#UB,cpmg,10,long,ub
564,QW#HG#MR1s1#R#keta#5647#10,keta,10,long,tb
565,QW#HG#MR1s1#R#keta#5647#UB,keta,10,long,ub
566,QW#HG#MR1S1#R#pire#9510#10,pire,10,long,tb
567,QW#HG#MR1S1#R#pire#9510#UB,pire,10,long,ub
568,spare; in freezer,,10,long,
569,spare; in freezer,,10,long,
570,damg; not digitized,,10,long,
